Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Код по классификатору МССК,Синонимы
,,,,,CBBBA090,"Дополнительное описание сведений текстовой части раздела 2 проектной документации линейного объекта ""Проект полосы отвода"" для железных дорог и требований к их содержанию","Структурный элемент текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий сведения о путепроводах, эстакадах, пешеходных переходах и развязках;","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 3 «Особенности состава разделов проектной документации для железных дорог и требований к их содержанию»",,,Дополнительно для железных дорог и требований к их содержанию,,
,,,,,CBBBA100,"Дополнительное описание сведений текстовой части раздела 2 проектной документации линейного объекта ""Проект полосы отвода"" для осуществления комплекса работ по инженерной защите и подготовке территории строительства при строительстве, реконструкции автомобильных дорог и требований к их содержанию","Структурный элемент текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий сводный план переустраиваемых инженерных коммуникаций и проектируемых сетей инженерно-технологического обеспечения","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 6 «Особенности состава разделов проектной документации для осуществления комплекса работ по инженерной защите и подготовке территории строительства при строительстве, реконструкции автомобильных дорог и требований к их содержанию»",,,"Дополнительно для осуществления комплекса работ по инженерной защите и подготовке территории строительства при строительстве, реконструкции автомобильных дорог и требований к их содержанию",,
,,,,,CBBBA110,"Дополнительное описание сведений текстовой части раздела 2 проектной документации линейного объекта ""Проект полосы отвода"" для сетей газораспределения и (или) газопотребления давлением до 1,2 МПа включительно и требований к их содержанию","Структурный элемент текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий характеристику трассы (описание рельефа местности, климатических и инженерно-геологических условий, опасных природных процессов, растительного покрова, естественных и искусственных преград, существующих, реконструируемых, проектируемых, сносимых зданий, строений и сооружений);    
 расчет размеров земельных участков, предоставленных для размещения линейного объекта (далее - полоса отвода);    
описание решений по организации рельефа и инженерной подготовке территории размещения технологического оборудования, технологических и технических устройств линейного объекта;    
 сведения о радиусах и углах поворота, длине прямых и криволинейных участков, продольных и поперечных уклонах, преодолеваемых высотах;    
 обоснование необходимости размещения линейного объекта и его инфраструктуры на землях сельскохозяйственного назначения, лесного, водного фондов, землях особо охраняемых природных территорий
","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 10 «Особенности состава разделов проектной документации для сетей газораспределения и (или) газопотребления давлением до 1,2 МПа включительно и требований к их содержанию»",,,"Дополнительно для сетей газораспределения и (или) газопотребления давлением до 1,2 МПа включительно и требований к их содержанию",,
,,,,CBBBB,,"Графическая часть Раздела 2 проектной документации линейного объекта ""Проект полосы отвода""",Документированные результаты проектирования в соответствии с требованиями к содержанию графической части Раздела 2 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBBB010,"Топографическая карта-схема на линейный объект, с указанием границ административно-территориальных образований, по территории которых планируется провести трассу линейного объекта","Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий топографическую карту-схему на линейный объект, с указанием границ административно-территориальных образований, по территории которых планируется провести трассу линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBBB020,План и продольный профиль трассы с инженерно-геологическим разрезом на линейный объект,"Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий план и продольный профиль трассы с инженерно-геологическим разрезом на линейный объект, с указанием пикетов, углов поворота, обозначением существующих, проектируемых, реконструируемых, сносимых зданий и сооружений, трасс сетей инженерно-технического обеспечения, сопутствующих и пересекаемых коммуникаций, а также для магистральных нефтепроводов и нефтепродуктопроводов - с указанием мест размещения запорной арматуры (задвижек с электрическим приводом и ручных), станций электрохимической защиты, магистральной линии связи и электроснабжения для средств катодной защиты и приводов электрических задвижек, мест размещения головной и промежуточной перекачивающих станций, мест размещения потребителей",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBBB030,"Дополнительные планы и схемы графической части раздела 2 проектной документации линейного объекта ""Проект полосы отвода"" для автомобильных дорог и требованиям к их содержанию ","Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий план трассы с указанием участков воздушных линий связи (включая места размещения опор, марки подвешиваемых проводов) и участков кабельных линий связи (включая тип кабеля, глубины заложения кабеля, места размещения наземных и подземных линейно-кабельных сооружений);
план трассы с указанием мест размещения проектируемых постов дорожно-патрульной службы, пунктов весового контроля, постов учета движения, постов метеорологического наблюдения, остановок общественного транспорта и мест размещения объектов дорожного сервиса.
","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 2 ""Особенности состава разделов проектной документации для автомобильных дорог и требований к их содержанию""",,,Дополнительно для автомобильных дорог и требований к их содержанию,,
,,,,,CBBBB040,"Дополнительные планы и схемы графической части раздела 2 проектной документации линейного объекта ""Проект полосы отвода"" для железных дорог и требований к их содержанию","Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий план трассы железной дороги с указанием участков воздушных линий связи (включая места размещения опор, марки подвешиваемых проводов) и участков кабельных линий связи (включая тип кабеля, глубину заложения кабеля, места размещения наземных и подземных линейно-кабельных сооружений)","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 3 «Особенности состава разделов проектной документации для железных дорог и требований к их содержанию»",,,Дополнительно для железных дорог и требований к их содержанию,,
C,CB,,,,CBBBB050,"Дополнительные планы и схемы графической части раздела 2 проектной документации линейного объекта ""Проект полосы отвода"" для сетей газораспределения и (или) газопотребления давлением до 1,2 МПа включительно и требований к их содержанию","Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий топографическую карту-схему с указанием границ административно-территориальных образований, по территории которых планируется провести трассу;    
 план и продольный профиль трассы с инженерно-геологическим разрезом с указанием пикетов, углов поворота, обозначением существующих, проектируемых, реконструируемых, сносимых зданий, строений и сооружений, трасс сетей инженерно-технического обеспечения, сопутствующих и пересекаемых коммуникаций с указанием мест размещения запорной арматуры, станций электрохимической (катодной) защиты, мест размещения технологического оборудования, технологических и технических устройств линейного объекта;    
 ведомость типовых чертежей (нормалей) при их наличии (включаются прилагаемые документы)","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 10 «Особенности состава разделов проектной документации для сетей газораспределения и (или) газопотребления давлением до 1,2 МПа включительно и требований к их содержанию»",,,"Дополнительно для сетей газораспределения и (или) газопотребления давлением до 1,2 МПа включительно и требований к их содержанию",,
,,,CBBC,,,"Раздел 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Документированные результаты проектирования в соответствии с требованиями к содержанию Раздела 3 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По форме предоставления информации,,Сформулировано на основании результата анализа источников,,
,,,,CBBCA,,"Текстовая часть Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части Раздела 3 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBCA010,"Сведения о топографических, инженерно-геологических, гидрогеологических, метеорологических и климатических условиях участка линейного объекта","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения о топографических, инженерно-геологических, гидрогеологических, метеорологических и климатических условиях участка линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBCA020,"Сведения об особых природно-климатических условиях земельного участка, предоставляемого для размещения линейного объекта","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения об особых природно-климатических условиях земельного участка, предоставляемого для размещения линейного объекта (сейсмичность, мерзлые грунты, опасные геологические процессы и др.)",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBCA030,Сведения о проектной мощности линейного объекта,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения о проектной мощности (пропускной способности, грузообороте, интенсивности движения и др.) линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBCA040,Описание характеристик технологического оборудования и устройств линейного объекта,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание характеристик технологического оборудования и устройств линейного объекта (в том числе возможность автоматического регулирования таких оборудования и устройств), обеспечивающие соблюдение требований технических регламентов",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBCA050,Описание мероприятий по энергосбережению на линейный объект,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание мероприятий по энергосбережению на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBCA060,Обоснование количества и типов оборудования на линейный объект,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий обоснование количества и типов оборудования на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников,,
,,,,,CBBCA080,Архитектурные и объемно-планировочные решения на линейный объект,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий архитектурные и объемно-планировочные решения - в случае, если наличие этих решений предусмотрено заданием на проектирование",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA090,Описание сведений о прочностных и деформационных характеристиках грунта в основании линейного объекта,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание сведений о прочностных и деформационных характеристиках грунта в основании линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA100,"Описание сведений об уровне грунтовых вод, их химическом составе, агрессивности по отношению к материалам изделий и конструкций подземной части линейного объекта","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание сведений об уровне грунтовых вод, их химическом составе, агрессивности по отношению к материалам изделий и конструкций подземной части линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA110,Перечень дератизационных мероприятий на линейный объект ,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий перечень дератизационных мероприятий на линейный объект (при необходимости) ",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA120,"Описание сведений о численности и профессионально-квалификационном составе персонала с распределением по группам производственных процессов, число и оснащенность рабочих мест на линейный объект","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание сведений о численности и профессионально-квалификационном составе персонала с распределением по группам производственных процессов, число и оснащенность рабочих мест на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA130,"Обоснование принятых в проектной документации автоматизированных систем управления технологическими процессами, автоматических систем по предотвращению нарушения устойчивости и качества работы линейного объекта","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий обоснование принятых в проектной документации автоматизированных систем управления технологическими процессами, автоматических систем по предотвращению нарушения устойчивости и качества работы линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA140,"Описание и обоснование проектных решений при реализации требований, предусмотренных статьей 8 Федерального закона ""О транспортной безопасности""","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание и обоснование проектных решений при реализации требований, предусмотренных статьей 8 Федерального закона ""О транспортной безопасности""",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA150,"Обоснование технических решений по строительству, реконструкции, капитальному ремонту линейного объекта в сложных инженерно-геологических условиях ","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий обоснование технических решений по строительству, реконструкции, капитальному ремонту линейного объекта в сложных инженерно-геологических условиях ",Постановление Правительства РФ от 16.02.2008 N 87,,,,,
,,,,,CBBCA160,Сведения о системе электроснабжения,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий характеристику источников электроснабжения в соответствии с техническими условиями на подключение объекта капитального строительства к сетям электроснабжения общего пользования;
обоснование принятой схемы электроснабжения;
сведения о количестве электроприемников, их установленной и расчетной мощности;
требования к надежности электроснабжения и качеству электроэнергии;
описание решений по обеспечению электроэнергией электроприемников в соответствии с установленной классификацией в рабочем и аварийном режимах;
описание проектных решений по компенсации реактивной мощности, релейной защите, управлению, автоматизации и диспетчеризации системы электроснабжения;
перечень мероприятий по экономии электроэнергии;
сведения о мощности сетевых и трансформаторных объектов;
решения по организации масляного и ремонтного хозяйства;
перечень мероприятий по заземлению (занулению) и молниезащите;
сведения о типе, классе проводов и осветительной арматуры, которые подлежат применению при строительстве, реконструкции, капитальном ремонте объекта капитального строительства;
описание системы рабочего и аварийного освещения;
описание дополнительных и резервных источников электроэнергии;
перечень мероприятий по резервированию электроэнергии","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 1 ""Особенности состава разделов проектной документации для метрополитена и требований к их содержанию""",,,Дополнительно для линейного ОКС метрополитена ,,
,,,,,CBBCA170,Сведения о системе водоснабжения,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения о существующих и проектируемых источниках водоснабжения;
сведения о существующих и проектируемых зонах охраны источников питьевого водоснабжения, водоохранных и рыбоохранных зонах;
описание и характеристику системы водоснабжения и ее параметров;
сведения о расчетном (проектном) расходе воды на хозяйственно-питьевые нужды, в том числе на автоматическое пожаротушение и техническое водоснабжение, включая оборотное;
сведения о расчетном (проектном) расходе воды на производственные нужды;
сведения о фактическом и требуемом напоре в сети водоснабжения, проектных решениях и инженерном оборудовании, обеспечивающих создание требуемого напора воды;
сведения о материалах труб систем водоснабжения и мерах по их защите от агрессивного воздействия грунтов и грунтовых вод;
сведения о качестве воды;
перечень мероприятий по обеспечению установленных показателей качества воды для различных потребителей;
перечень мероприятий по резервированию воды;
перечень мероприятий по учету водопотребления;
описание системы автоматизации водоснабжения;
перечень мероприятий по рациональному использованию воды, ее экономии;
описание системы горячего водоснабжения;
расчетный расход горячей воды;
описание системы оборотного водоснабжения и мероприятий, обеспечивающих повторное использование тепла подогретой воды;
баланс водопотребления и водоотведения по объекту капитального строительства в целом и по основным производственным процессам;
","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 1 ""Особенности состава разделов проектной документации для метрополитена и требований к их содержанию""",,,Дополнительно для линейного ОКС метрополитена ,,
,,,,,CBBCA180,Сведения о системе водоотведения,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения о существующих и проектируемых системах канализации, водоотведения и станциях очистки сточных вод;
обоснование принятых систем сбора и отвода сточных вод, объема сточных вод, концентраций их загрязнений, способов предварительной очистки, применяемых реагентов, оборудования и аппаратуры;
обоснование принятого порядка сбора, накопления, транспортирования, обработки, утилизации, обезвреживания и размещения отходов;
описание и обоснование схемы прокладки канализационных трубопроводов, описание участков прокладки напорных трубопроводов (при наличии), условий их прокладки, оборудование, сведения о материале трубопроводов и колодцев, способах их защиты от агрессивного воздействия грунтов и грунтовых вод;
описание проектных решений в отношении ливневой канализации и расчетного объема дождевых стоков;
описание проектных решений по сбору и отводу дренажных вод;","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 1 ""Особенности состава разделов проектной документации для метрополитена и требований к их содержанию""",,,Дополнительно для линейного ОКС метрополитена ,,
,,,,,CBBCA190,"Сведения о системах отопления, вентиляции и кондиционирования воздуха, тепловых сетях","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения о климатических и метеорологических условиях района строительства, реконструкции, капитального ремонта объекта капитального строительства, расчетных параметрах наружного воздуха;
сведения об источниках теплоснабжения, параметрах теплоносителей систем отопления и вентиляции;
описание и обоснование способов прокладки и конструктивных решений, включая решения в отношении диаметров и теплоизоляции труб теплотрассы от точки присоединения к сетям общего пользования до объекта капитального строительства;
перечень мер по защите трубопроводов от агрессивного воздействия грунтов и грунтовых вод;
обоснование принятых систем и принципиальных решений по отоплению, вентиляции и кондиционированию воздуха помещений;
сведения о тепловых нагрузках на отопление, вентиляцию, горячее водоснабжение на производственные и другие нужды;
сведения о потребности в паре;
обоснование оптимальности размещения отопительного оборудования, характеристик материалов для изготовления воздуховодов;
обоснование рациональности трассировки воздуховодов вентиляционных систем;
описание технических решений, обеспечивающих надежность работы систем в экстремальных условиях;
описание систем автоматизации и диспетчеризации процесса регулирования отопления, вентиляции и кондиционирования воздуха;
характеристику технологического оборудования, выделяющего вредные вещества;
обоснование выбранной системы очистки от газов и пыли;
перечень мероприятий по обеспечению эффективности работы систем вентиляции в аварийной ситуации (при необходимости);
","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 1 ""Особенности состава разделов проектной документации для метрополитена и требований к их содержанию""",,,Дополнительно для линейного ОКС метрополитена ,,
,,,,,CBBCA200,Сведения о системе автоматики и телемеханики движения поездов,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий общие сведения о проектируемых системах автоматики и телемеханики для обеспечения безопасности и организации движения поездов, пропускной способности линии (участка);
сведения о системе автоматического регулирования и обеспечения безопасности движения поездов, автоматической блокировки;
описание устройств автоматического регулирования скорости;
сведения о контролируемых ступенях скорости;
сведения о нормативах для расчета тормозных путей и выполнения тяговых расчетов;
описание устройств автоматической блокировки, сигнализации светофоров и режимов эксплуатации;
расчет схемы блок-участков (по каждому перегону);
сведения о параметрах системы централизации стрелок и сигналов;
сведения о пропускной способности оборотных тупиков;
описание системы автоматизации часто повторяющихся маршрутов;
описание схемы управления стрелочными приводами с указанием типа стрелочного привода;
описание системы контроля остановки поездов на станциях с путевым развитием;
описание сигнализации полуавтоматических светофоров;
описание системы пригласительных сигналов и их автоматизации, резервирования аппаратуры;
сведения об устройствах диспетчерской централизации, режимах работы, мерах защиты от несанкционированного доступа;
основные параметры систем телеуправления и телесигнализации, сведения о дальности управления и каналах связи, емкости систем;
описание системы дублирования ответственных команд; 
сведения о резервировании аппаратуры;
сведения о размещении центральных и станционных устройств; 
описание системы автоматического управления движением поездов; 
сведения о взаимодействии с системами автоматического регулирования и безопасности движения;
","Постановление Правительства РФ от 16.02.2008 N 87, Приложение N 1 ""Особенности состава разделов проектной документации для метрополитена и требований к их содержанию""",,,Дополнительно для линейного ОКС метрополитена ,,
