Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
,,MLB,,привод на основе упругой энергии,"движущий объект, приводимый в действие механической энергией путем высвобождения упругой энергии",,,,,,,,,,KSI060000373
,,MLC,,ветряная турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии движущегося воздуха",,,,,,,,,,KSI060000374
,,MLD,,водяная турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии текущей воды",,,,,,ЭЛ 50 20 10 10,,,,KSI060000375
,,MLE,,газовая турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии и реактивной силы потока газов и/или расширяющихся газов
-
Компонент газотурбинного двигателя, преобразующий потенциальную энергию нагретого рабочего тела под давлением в механическую работу ",ГОСТ Р 51852-2001,,,,,,,,,KSI060000376
,MM,,,"движущий объект, приводимый в действие жидкостью","движущий объект, приводимый в действие перемещением или давлением жидкости",ISO 81346-2:2019,Вид источника жидкости,,,,,,,,KSI060000377
,,MMA,,гидроцилиндр,"движущий объект, приводимый в действие жидкостью, обеспечивающий движение, соответствующее объему жидкости
-
Объемный гидродвигатель (объемный пневмодвигатель) с возвратно-поступательным движением выходного звена ",ГОСТ 17752-81,,IfcActuator,HYDRAULICACTUATOR,,,,,,KSI060000378
,,MMB,,пневмоцилиндр,"движущий объект, приводимый в действие жидкостью, обеспечивающий перемещение в конечные положения в зависимости от давления газа",,,IfcActuator,PNEUMATICACTUATOR,,,,,,KSI060000379
,,MMC,,двигатель гидравлический,"движущий объект, приводимый в действие жидкостью, обеспечивающий вращение потоком жидкости",,,,,,,,,,KSI060000380
,,MMD,,двигатель пневматический,"движущий объект, приводимый в действие жидкостью, обеспечивающий вращение газом под давлением",,,,,,,,,,KSI060000381
,MS,,,двигатель внутреннего сгорания,"движущий объект, приводимый в действие сгоранием топлива",ISO 81346-2:2019,Вид двигателя,IfcEngine,,,,,,,KSI060000382
,,MSA,,двигатель внутреннего сгорания,"двигатель внутреннего сгорания в цилиндрах с поршнями, приводимыми в действие искровым зажиганием
-
Тепловой двигатель, в котором химическая энергия топлива, сгорающего в рабочей полости, преобразуется в механическую работу.",ГОСТ 33670-2015,,IfcEngine,INTERNALCOMBUSTION,,,,,,KSI060000383
,,MSB,,дизельный двигатель,"двигатель внутреннего сгорания в цилиндрах с поршнями, приводимыми в действие зажиганием от сжатия
-
Поршневой двигатель внутреннего сгорания с внутренним смесеобразованием, сжатием воздуха, впрыском топлива и его самовоспламенением, работающий на дизельном топливе.",ГОСТ Р 58787-2019  ,,IfcEngine,INTERNALCOMBUSTION,,,,,,KSI060000384
,,MSC,,роторно-поршневой двигатель,"двигатель внутреннего сгорания в кольцевом отсеке с эксцентриковым вращающимся поршнем, работающим от искрового зажигания",,,IfcEngine,INTERNALCOMBUSTION,,,,,,KSI060000385
,MT,,,тепловой двигатель,"движущий объект, приводимый в действие внешним источником тепла",ISO 81346-2:2019,Вид двигателя,,,,,,,,KSI060000386
,,MTA,,паровая машина,"тепловой двигатель, использующий расширяющийся пар, действующий на один поршень",,,,,,,,,,KSI060000387
,,MTB,,двигатель Стирлинга,"тепловой двигатель, использующий два поршня в одном нагретом и одном охлажденном цилиндре или цилиндрической части",,,,,,,,,,KSI060000388
N_,,,,"объект, осуществляющий закрытие (покрытие)","объект, частично или полностью закрывающий другой объект",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000389
,NA,,,заполняющий объект,"объект, осуществляющий покрытие при помощи заполнения проемов",ISO 81346-2:2019,Вид назначения заполнения,,,,,,,,KSI060000390
,,NAA,,светопрозрачное заполнение,"заполняющий объект, не препятствующий проникновению света",,,IfcWindow ,WINDOW,,"ЭЛ 30 18 52 10
ЭЛ 30 18 40",,,,KSI060000391
,,NAB,,панель,"заполняющий объект, препятствующий проникновению света и твердых объектов",,,IfcPlate ,CURTAIN_PANEL,,ЭЛ 30 10 10 10,,,,KSI060000392
,,NAC,,решетка,"заполняющий объект, не препятствующий проникновению жидкости",Большая строительная энциклопедия stroi.gov.ru,,IfcAirTerminal,GRILLE,,"ЭЛ 40 15 20 52
ЭЛ 40 40 20 20",,,,KSI060000393
,,NAD,,герметичное соединение,"заполняющий объект, препятствующий проникновению жидкости
-
Обеспечение непроницаемости узла сопряжения между водонепроницаемыми конструкциями или элементами сооружения.","СП 250.1325800.2016
",,"IfcPipeFitting, IfcPlate",,,ЭЛ 40 15 20 45,,,,KSI060000394
,NB,,,закрывающий объект,"объект, осуществляющий покрытие при помощи закрытия проемов (отверстий)",ISO 81346-2:2019,Вид объекта для закрытия,,,,,,,,KSI060000395
,,NBA,,дверное полотно,"закрывающий объект в двери
-
Сборочная единица дверного блока, соединенная с коробкой посредством подвижных связей (петель).",ГОСТ 475-2016,,IfcDoor,DOOR,,,,,,KSI060000396
,,NBB,,воротное полотно,закрывающий объект в воротах,,,IfcDoor,GATE,,,,,,KSI060000397
,,NBC,,дверца,закрывающий объект для ограниченного (огражденного) пространства,,,IfcDoor,DOOR,,"ЭЛ 30 18 30
ЭЛ 30 18 50 20",,,,KSI060000398
,,NBD,,двери гейта,закрывающий объект в гейте,,,IfcDoor,GATE,,,,,,KSI060000399
,,NBE,,крышка люка,"закрывающий объект в люке
-
Крышка доступа к люку.",ГОСТ Р ИСО 6707-1-2020,,IfcDoor,TRAPDOOR,,,,,,KSI060000400
,NC,,,объект отделки,"объект, осуществляющий покрытие при помощи специализированных конструкций и отделочных материалов",ISO 81346-2:2019,Вид объекта для защиты,,,,,,,,KSI060000401
,,NCA,,дорожное покрытие,объект устройства дорожного покрытия,ГОСТ 32825-2014,,IfcCourse,PAVEMENT,,,,,,KSI060000402
,,NCB,,отделочное покрытие стены,"объект отделки стены
-
Материал  для завершающего этапа работ по покрытию и обработке стены",ГОСТ Р ИСО 6707-1-2020,,IfcCovering,CLADDING,,"ЭЛ 30 26
ЭЛ 30 26 10
ЭЛ 30 26 20
ЭЛ 30 28
ЭЛ 30 28 10
ЭЛ 30 28 20",,,,KSI060000403
,,NCC,,напольное покрытие,"объект отделки пола
-
Предварительно изготовленный продукт в виде рулонов и плиток, который может быть использован в качестве финишного покрытия пола в помещении, воспринимающего эксплуатационные воздействия.",ГОСТ Р 58211-2018,,IfcCovering,FLOORING,,ЭЛ 30 32 35,,,,KSI060000404
,,NCD,,потолочное покрытие,"объект отделки потолка
-
Строительная конструкция, скрывающая нижнюю плоскость перекрытия или крыши с конструктивными элементами или инженерными сетями и обеспечивающая верхнюю плоскость замкнутого пространства ","ГОСТ Р ИСО 6707-1-2020
",,IfcCovering,CEILING,,"ЭЛ 30 10 45
ЭЛ 30 28
ЭЛ 30 28 10
ЭЛ 30 28 20
",,,,KSI060000405
,,NCE,,кровельное покрытие,объект отделки крыши,,,IfcCovering,ROOFING,,"ЭЛ 20 10
ЭЛ 20 20 55",,,,KSI060000406
,,NCF,,подоконник,"объект отделки проема
-
Деталь нижней части внутреннего обрамления оконного проема: доска, профиль или плита, укладываемые на уровне нижнего бруса оконной коробки и выполненные из дерева, ПВХ, камня, металла, железобетона. ","ГОСТ 30971-2012
",,IfcCovering,,,ЭЛ 30 12 32,,,,KSI060000407
,,NCG,,ковер из растений,объект отделки участка растительности,,,IfcGeographicElement,VEGETATION,,ЭЛ 20 30 40,,,,KSI060000408
,,NCH,,"объект, формирующий поверхность",объект отделки путем формирования внешней формы объекта,,,,,,,,,,KSI060000409
,ND,,,ограничивающий объект,"объект, осуществляющий покрытие путем ограничения другого объекта",ISO 81346-2:2019,Вид объекта для ограничения,,,,,,,,KSI060000410
,,NDA,,бордюр,"объект, ограничивающий кромку дорожного покрытия или растительного покрова",,,IfcKerb, ,,ЭЛ 70 30 08,,,,KSI060000411
,,NDB,,торцевой элемент стены,"объект, ограничивающий кромку стены",,,,,,,,,,KSI060000412
,,NDC,,торцевой элемент пола,"объект, ограничивающий кромку пола",,,,,,,,,,KSI060000413
,,NDD,,торцевой элемент потолка,"объект, ограничивающий кромку потолка",,,,,,,,,,KSI060000414
,,NDE,,торцевой элемент кровли,"объект, ограничивающий кромку крыши",,,,,,,,,,KSI060000415
,,NDF,,откос,"боковая наклонная поверхность, ограничивающая искусственное земляное сооружение.",СП 34.13330.2021,,IfcEarthworksFill,SLOPEFILL,,,,,,KSI060000874
,NE,,,объект для сокрытия,"объект, осуществляющий покрытие, скрывающий стыки и переходы",ISO 81346-2:2019,Вид метода и назначения,,,,,,,,KSI060000416
,,NEA,,потолочный плинтус,"объект, скрывающий стык между стеной и потолком",Большая строительная энциклопедия stroi.gov.ru,,IfcCovering,MOLDING,,ЭЛ 30 19 25,,,,KSI060000417
,,NEB,,напольный плинтус,"объект, скрывающий стык между стеной и полом",Большая строительная энциклопедия stroi.gov.ru,,IfcCovering,SKIRTINGBOARD,,ЭЛ 30 19 25,,,,KSI060000418
,,NEC,,уголок стеновой,"объект, скрывающий стык между двумя стенами",,,IfcCovering, ,,ЭЛ 30 19 50,,,,KSI060000419
,,NED,,гидроизолирующий фартук,"объект, скрывающий стык на крыше",,,IfcCovering,SKIRTINGBOARD,,ЭЛ 30 16 35,,,,KSI060000420
,,NEE,,наличник,"объект, скрывающий края отверстия
-
Декоративная планка вокруг проема","ГОСТ Р ИСО 6707-1-2020
",,IfcCovering,SKIRTINGBOARD,,"ЭЛ 30 19 10
ЭЛ 30 19 15",,,,KSI060000421
P_,,,,объект представления информации,объект для предоставления видимой информации,ISO 81346-2:2019,"Вид формы представления и вид
представляемой информации",,,,,,,,KSI060000422
,PF,,,индикатор визуального контроля,"объект, представляющий информацию в видимой форме дискретных состояний",ISO 81346-2:2019,Вид метода и назначения,,,,,,,,KSI060000423
,,PFA,,сигнальная лампа,"видимый индикатор состояния, обозначаемый при помощи света",,,IfcSignal,VISUAL,,ЭЛ 40 50 50 15,,,,KSI060000424
,,PFB,,семафор,"видимый индикатор состояния, обозначаемый при помощи механического указателя",,,IfcSignal,VISUAL,,,,,,KSI060000425
,PG,,,дисплей со скалярным значением,"объект, представляющий информацию в видимой форме одной скалярной переменной",ISO 81346-2:2019,Представляемое количество,,,,,,,,KSI060000426
,,PGA,,вольтметр,"дисплей со скалярным значением, представляющий электрическое напряжение
-
Инструмент, предназначенный для измерения значения напряжения",ГОСТ IEC 60050-300-2015,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 30,,,,KSI060000427
,,PGB,,индикатор удельного сопротивления,"дисплей со скалярным значением, представляющий удельное сопротивление или проводимость",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 25,,,,KSI060000428
,,PGC,,амперметр,"дисплей со скалярным значением, представляющий электрический ток
-
Прибор, предназначенный для измерения силы тока.",ГОСТ IEC 60050-300-2015,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000429
,,PGD,,плотномер,"дисплей со скалярным значением, представляющий плотность
-
Прибор для непрерывного (или периодического) измерения плотности вещества в процессе производства или переработки, устанавливается непосредственно в технологических линиях или производственных агрегатах.",СТО 56947007-29.240.039-2010,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000430
,,PGE,,индикатор поля,"дисплей со скалярным значением, представляющий поле",,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000431
,,PGF,,расходомер,"дисплей со скалярным значением, представляющий поток",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 19,,,,KSI060000432
,,PGG,,измерительный индикатор,"дисплей со скалярным значением, представляющий пространственные измерения и/или положение",,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000433
,,PGH,,счетчик электроэнергии,"дисплей со скалярным значением, представляющий энергию",,,IfcAudioVisualAppliance,DISPLAY,,"ЭЛ 40 50 20 60
ЭЛ 40 55 20 14",,,,KSI060000434
,,PGJ,,ваттметр,"дисплей со скалярным значением, представляющий электроэнергию
-
Прибор, предназначенный для измерения активной мощности.",ГОСТ IEC 60050-300-2015,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000435
,,PGK,,часы,"дисплей со скалярным значением, представляющий время",,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000436
,,PGL,,индикатор уровня,"дисплей со скалярным значением, представляющий уровень",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 25,,,,KSI060000437
,,PGM,,индикатор влажности,"дисплей со скалярным значением, представляющий влажность",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 25,,,,KSI060000438
,,PGP,,индикатор давления,"дисплей со скалярным значением, представляющий давление
-
Показывающий прибор, позволяющий визуально контролировать величину давления вытесняющего газа.","ГОСТ Р 51057-2001
",,IfcAudioVisualAppliance,DISPLAY,"89.1.62.07-0041
89.1.63.04-0008
89.1.63.04-0009
89.1.63.04-0010
89.1.63.04-0011
89.1.63.04-0012
89.1.63.04-0013
89.1.63.04-0014
89.1.63.04-0015
89.1.63.04-0016
89.1.63.04-0017
89.1.63.04-0032
89.1.63.04-0033
89.1.63.04-0034
89.1.63.04-0035
89.1.63.04-0036
89.1.63.04-0037
89.1.63.04-0038
89.1.63.04-0039
89.1.63.04-0040
89.1.63.04-0041
89.1.63.04-0042
89.1.63.04-0043
89.1.63.04-0044
89.1.63.04-0045
89.1.63.04-0046
89.1.63.04-0047
63.4.01","ЭЛ 40 55 20 13
ЭЛ 40 55 20 25",,,,KSI060000439
,,PGQ,,индикатор концентрации вещества,"дисплей со скалярным значением, представляющий концентрацию вещества",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 25,,,,KSI060000440
,,PGR,,индикатор электромагнитных волн,"дисплей со скалярным значением, представляющий излучение",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 25,,,,KSI060000441
,,PGS,,частотомер,"скалярный дисплей, представляющий интенсивность по времени",,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000442
,,PGT,,индикатор температуры,"дисплей со скалярным значением, представляющий температуру",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 25,,,,KSI060000443
,,PGV,,фазометр,"дисплей со скалярным значением, представляющий смещение между активной и реактивной мощностью
-
Прибор, предназначенный для измерения сдвига по фазе между двумя переменными электрическими величинами на той же частоте, одна из которых принята за опорную фазу.",ГОСТ IEC 60050-300-2015,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000444
,,PGW,,индикатор силы,"дисплей со скалярным значением, представляющий вес, усилие или крутящий момент",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 55 20 25,,,,KSI060000445
,,PGX,,аудиоспектрометр,"дисплей со скалярным значением, представляющий звук",,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000446
,,PGZ,,измеритель количества,"дисплей со скалярным значением, представляющий количество событий",,,IfcAudioVisualAppliance,DISPLAY,,,,,,KSI060000447
,PH,,,графический интерфейс,"объект, представляющий информацию в форме изображений, символов, текста или физических характеристик",ISO 81346-2:2019,Вид способов представления,,,,,,,,KSI060000448
,,PHA,,дисплей,"графический интерфейс, формирующий динамическое изображение на собственной поверхности",,,IfcAudioVisualAppliance,DISPLAY,,ЭЛ 40 60 10 14,,,,KSI060000449
,,PHB,,проектор,"графический интерфейс, формирующий динамическое изображение на иной поверхности
-
Оптико-механический прибор для проецирования на экран изображений с оригиналов: прозрачных, непрозрачных, а также тех и других",,,IfcAudioVisualAppliance,PROJECTOR,,,,,,KSI060000450
,,PHC,,принтер,"графический интерфейс, формирующий изображение на печатном носителе",,,IfcCommunicationsAppliance,PRINTER,,,,,,KSI060000451
,,PHD,,знак,"графический интерфейс, формирующий изображение на собственной поверхности
-
Материальный предмет (явление, действие, событие), который выступает в процессе коммуникации как представитель другого предмета, свойства или отношения и используется для передачи, переработки и хранения информации ",ГОСТ 7.0-99 СИБИД,,IfcSign,PICTORAL,,ЭЛ 70 70 01,,,,KSI060000452
,,PHE,,разметка,"графический интерфейс, формирующий изображение на поверхности иного объекта",,,IfcSurfaceFeature,"LINEMARKING
PAVEMENTSURFACEMARKING",,,,,,KSI060000453
,,PHF,,объект разметки,"графический интерфейс, формирующий обозначение чего-либо ввиду собственных физических характеристик и размеров",,,IfcSurfaceFeature, ,,"ТС 02 00
ТС 02 00 01
ТС 02 00 02
ТС 02 00 02 01
ТС 02 00 02 02
ТС 02 00 02 03
ТС 02 00 02 04
ТС 02 00 02 05
ТС 02 00 03
ТС 02 00 03 01
ТС 02 00 03 02
ТС 02 00 03 03
ТС 02 00 03 04
ТС 02 00 03 05
ТС 02 00 03 06
ТС 02 00 04
ТС 02 00 04 01
ТС 02 00 04 02
ТС 02 00 04 03
ТС 02 00 04 04
ТС 02 00 04 05
ТС 02 00 04 06
ТС 02 00 04 07
ТС 02 00 04 08
ТС 02 00 05
ТС 02 00 05 01
ТС 02 00 05 02
ТС 02 00 05 03
ТС 02 00 05 04
ТС 02 00 05 05
ТС 02 00 05 06
ТС 02 00 05 07
ТС 02 00 05 08
ТС 02 00 05 09
ТС 02 00 05 10
ТС 02 00 05 11
ТС 02 00 05 12
ТС 02 00 05 13
ТС 02 00 06
ТС 02 00 07
ТС 02 00 07 01
ТС 02 00 07 02
ТС 02 00 07 03
ТС 02 00 08
ТС 02 30",,,"Геодезические пункты
Геодезические пункты - точечные объекты
Астрономические пункты
Пункты государственной геодезической сети (ГГС)
Пункт ГГС на кургане
Пункт ГГС на скалах-останцах
Пункт ГГС на здании
Пункт ГГС на церкви
Пункт ГГС на естественных буграх
Точки съемочной сети (СС), закрепленные на местности центрами
Точка СС на курганах
Точка плановой СС
Точка плановой СС долговременного закрепления на местности
Точка плановой СС временного закрепления на местности
Точка плановой СС в стене здания
Точка плановой СС на углах капитальных зданий
Пункты геодезических сетей сгущения (ГСС)
Пункт ГСС на кургане
Пункт ГСС на буграх
Пункт ГСС на скалах-останцах
Пункт ГСС на здании (стенах зданий)
Пункт ГСС и точка СС (без разделения)
Пункт ГСС и точка СС (без разделения) на кургане
Пункт ГСС и точка СС (без разделения) на скалах-останцах
Пункт ГСС и точка СС (без разделения) на церкви
Реперы, марки ГНС, знаки нивелирные
Репер фундаментальный
Репер грунтовой
Репер грунтовой координированный
Репер грунтовой строительный долговременного закрепления
Репер скальный
Марка скальная
Репер стенный
Марка стенная
Репер временный
Репер
Марка
Репер ГНС
Знак нивелирный на кургане
Пункты ориентирные
Столбы граничные (знаки межевые)
Пункт закрепления
Геодезические пункты - надписи
Столб закрепления
Столб закрепления проекта планировки
Пункты закрепления разбивочной сетки для строительства",KSI060000454
,PJ,,,акустическое устройство,"объект, представляющий информацию в звуковой форме",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000455
,,PJA,,громкоговоритель,"акустическое устройство, работающее на основе перемещения мембраны
-
Устройство для преобразования электрических сигналов в акустические и их последующего излучения, состоящее из одной или нескольких головок громкоговорителя, акустического оформления и других дополнительных элементов и устройств.","ГОСТ 24214-80
",,IfcAudioVisualAppliance,SPEAKER,,ЭЛ 40 55 10 30,,,,KSI060000456
,,PJB,,горн,"акустическое устройство, работающее на основе потока воздуха",,,IfcAlarm,,,,,,,KSI060000457
,,PJC,,колокол,"акустическое устройство, работающее на основе механического возбуждения объекта",,,IfcAlarm,,,,,,,KSI060000458
,PK,,,тактильное устройство,"объект, представляющий информацию в тактильной форме",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000459
,,PKA,,вибрационное устройство,"тактильное устройство, представляющее информацию путем вибрации",,,IfcSurfaceFeature, ,,,,,,KSI060000460
,,PKB,,текст со шрифтом Брайля,"тактильное устройство, представляющее статическую информацию",,,IfcSurfaceFeature, ,,,,,,KSI060000461
,,PKC,,предупреждение о свободной высоте,тактильное устройство для преодоления препятствий на местности,,,IfcSurfaceFeature, ,,,,,,KSI060000462
,PL,,,декоративный объект,"объект, представляющий информацию в декоративной форме","ISO 81346-2:2019
",Вид применяемого метода,,,,"ЭЛ 30 29
ЭЛ 30 29 10
ЭЛ 30 29 10 10
ЭЛ 30 29 10 20
ЭЛ 30 16 36
ЭЛ 30 16 37
",,,,KSI060000463
,,PLA,,карниз,"декоративный объект, выступающий в роли разделителя между двумя областями
-
Выступающая профильная архитектурная деталь антаблемента или стены.","ГОСТ 23342-2012
",,IfcCovering ,MOLDING,,ЭЛ 30 16 35,,,,KSI060000464
,,PLB,,статуя,"декоративный объект, выступающий в роли пространственного представления чего-либо",,,IfcFurniture, ,,,,,,KSI060000465
,,PLC,,лепнина,декоративный объект в виде выступающих фигур и/или декоративных элементов на стене,,,IfcFurniture, ,,"ЭЛ 30 16 25
ЭЛ 30 29 15
ЭЛ 30 29 20
ЭЛ 30 29 25
ЭЛ 30 29 30
ЭЛ 30 29 35
ЭЛ 30 29 40
ЭЛ 30 29 50
ЭЛ 30 29 55
ЭЛ 30 29 60
ЭЛ 30 29 60 10
ЭЛ 30 29 60 20
ЭЛ 30 29 65
ЭЛ 30 29 65 10
ЭЛ 30 29 65 20
ЭЛ 30 29 70
ЭЛ 30 29 75
",,,,KSI060000466
,,PLD,,картина,"декоративный объект, представляющий, иллюстрирующий или воспроизводящий что-либо на поверхности",,,IfcFurniture, ,,,,,,KSI060000467
,,PLE,,ковер,"декоративный объект, представляющий собой ткань, покрывающую другой объект",,,IfcFurniture, ,,,,,,KSI060000468
,PZ,,,"объект, представляющий множество видов информации","объект, представляющий информацию в нескольких формах",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000469
,,PZA,,аудиовизуальная сигнализация,"объект, представляющий информацию для отдельных состояний в нескольких формах",,,IfcAlarm, ,,,,,,KSI060000470
,,PZB,,телевизор,"объект, представляющий множество видов информации в нескольких формах",,,IfcAudioVisualAppliance, ,,ЭЛ 40 50 30 35,,,,KSI060000471
Q_,,,,объект управления доступом или потоком среды,объект для управления доступом или потоком,ISO 81346-2:2019,Вид потока объектов и вид метода,,,,,,,,KSI060000472
,QA,,,электрический объект управления,объект управления электрическим током в электрической цепи,ISO 81346-2:2019,Вид метода переключения,,,,,,,,KSI060000473
,,QAA,,контактор,"электрический объект управления, воздействующий механическим путем только в нормальных условиях эксплуатации
-
Механический выключатель, имеющий только одно положение покоя, не предназначенный для управления вручную, способный включать, пропускать и отключать ток в нормальных условиях цепи, в том числе в условиях работ.",ГОСТ IEC 60309-4-2017,,IfcSwitchingDevice,CONTACTOR,,,,,,KSI060000474
,,QAB,,автоматический выключатель,"электрический объект управления, воздействующий механическим путем в нормальных и ненормальных условиях эксплуатации
-
Контактное коммутационное устройство, способное включать, проводить и отключать электрические токи при нормальных условиях электрической цепи, а также включать, проводить в течение установленного времени и отключать электрические токи при определенных анормальных условиях электрической цепи, таких как короткое замыкание.","ГОСТ IEC 60947-1-2017
",,IfcProtectiveDevice, ,62.1.01,ЭЛ 40 50 20 20,,,,KSI060000475
,,QAC,,электронный выключатель электропитания,"электрический объект управления, воздействующий электронным способом",,,IfcSwitchingDevice , ,,ЭЛ 40 50 20 20,,,,KSI060000476
,,QAD,,вводно-распределительное устройство,"устройства, предназначенные для приема, учета и распределения электрической энергии в электроустановках жилых и общественных зданий, а также для защиты отходящих от ВРУ распределительных и групповых цепей при перегрузках и коротких замыканиях","ГОСТ 32396-2021
",,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,,ЭЛ 40 50 65 06,,,,KSI060000477
,,QAE,,распределительный щит,"распределительный щит, через который снабжается электроэнергией все здание или его обособленная часть",СП 256.1325800.2016,,IfcElectricDistributionBoard,DISTRIBUTIONBOARD," 89.1.62.01-0480
 89.1.62.01-0481
 89.1.62.01-0482
 89.1.62.01-0483
 89.1.62.01-0484
 89.1.62.01-0485
 89.1.62.01-0486
 89.1.62.01-0487
 89.1.62.01-0488
 89.1.62.01-0489
 89.1.62.01-0490
 89.1.62.01-0491
 89.1.62.01-0492
 89.1.62.01-0493
",ЭЛ 40 50 65 02,,,,KSI060000478
,,QAF,,распределительный пункт,"Устройство, в котором установлены аппараты защиты и коммутационные аппараты (или только аппараты защиты) для отдельных электроприемников или их групп (электродвигателей, групповых щитков).","Приказ Минэнерго РФ от 20.06.2003
Правила устройства электроустановок (ПУЭ)",,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,,,,,,KSI060000851
,QB,,,объект разрыва электрической цепи,"объект управления, действующий путем разрыва электрических цепей",ISO 81346-2:2019,Вид назначения,,,,,,,,KSI060000479
,,QBA,,разъединитель без предохранителя,"объект разделения электрической цепи путем механической изоляции вышестоящей цепи от нижестоящей цепи
-
Контактный коммутационный аппарат, в разомкнутом положении соответствующий требованиям к функции разъединения.","ГОСТ IEC 60947-1-2017
",,IfcProtectiveDevice,CIRCUITBREAKER,,ЭЛ 40 50 20 20,,,,KSI060000480
,,QBB,,предохранитель-разъединитель,"объект разделения электрической цепи путем механической изоляции
вышестоящей цепи от нижестоящей цепи со встроенным предохранителем","ГОСТ IEC 60947-3-2022
",,IfcProtectiveDevice,FUSEDISCONNECTOR,,ЭЛ 40 50 20 20,,,,KSI060000481
,QC,,,объект электрического заземления,объект управления действующий путем заземления электрических цепей,ISO 81346-2:2019,Вид назначения,,,,,,,,KSI060000482
,,QCA,,заземлитель,"объект электрического заземления, соединяющий электрические цепи c землей
-
Проводящая часть или совокупность электрически соединенных между собой проводящих частей, находящихся в электрическом контакте с локальной землей непосредственно или через промежуточную проводящую среду.", ГОСТ Р 58698-2019  ,,IfcProtectiveDevice, ,,ЭЛ 40 50 80 04,,,,KSI060000483
,,QCB,,молниеприемник,"Часть внешней системы молниезащиты, в которой используются такие металлические элементы, как стержни, проводники молниеприемной сетки или подвесные тросы, предназначенные для перехвата молнии","ГОСТ Р 57190-2016
ГОСТ Р МЭК 62561.2-2014
ГОСТ Р 58344-2019",,IfcProtectiveDevice , ,20.1.02.16,ЭЛ 40 50 80 06,,,,KSI060000484
,QM,,,объект для переключения потока среды,объект управления путем переключения потока среды в герметичном корпусе,ISO 81346-2:2019,Вид жидкостей,,,,,,,,KSI060000485
,,QMA,,жидкостный запорный клапан,"объект для переключения потока жидкости в герметичном корпусе
-
Управляемый вручную двухходовой клапан, который пропускает или перекрывает поток жидкости","ГОСТ Р 53780-2010
",,IfcValve,STOPCOCK,,"ЭЛ 40 15 30 25
ЭЛ 40 15 30 20
ЭЛ 40 15 30 21
ЭЛ 40 50 27 09",,,,KSI060000486
,,QMB,,газовый запорный клапан,объект для переключения потока газа в герметичном корпусе,Большая строительная энциклопедия stroi.gov.ru,,IfcValve,STOPCOCK,,"ЭЛ 40 15 20 20
ЭЛ 40 15 30 25
ЭЛ 40 50 29 13",,,,KSI060000487
,QN,,,объект для изменения потока среды,объект управления путем изменения потока среды в герметичном корпусе,ISO 81346-2:2019,Вид жидкостей,,,,,,,,KSI060000488
,,QNA,,клапан управления потоком жидкости,объект для изменения потока жидкости в герметичном корпусе,Большая строительная энциклопедия stroi.gov.ru,,"IfcValve, IfcFireSuppressionTerminal ",,,"ЭЛ 40 15 30 25
ЭЛ 40 50 27 01",,,,KSI060000489
,,QNB,,клапан управления потоком газа или воздуха,объект для изменения потока газа в герметичном корпусе,Большая строительная энциклопедия stroi.gov.ru,,IfcValve,,,"ЭЛ 40 15 30 25
",,,,KSI060000490
,QP,,,объект управления в открытой среде,объект управления жидкостями в открытой среде,ISO 81346-2:2019,Вид жидкостей,,,,,,,,KSI060000491
,,QPA,,ворота шлюза,объект управления жидкостями в открытой среде путем изменения или переключения потока,,,IfcDoor,GATE,,"ЭЛ 40 15 30 15
ЭЛ 50 20 20 50",,,,KSI060000492
,,QPB,,пассивное устройство направления потока жидкости,объект управления жидкостями в открытой среде путем направления потока фиксированными средствами,,,,,,,,,,KSI060000493
