Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа,Примеры,Код по классификатору МССК,Примечание,Синонимы,УИН
,,JAA,,Определение целей качества проекта и перечня стандартов,"Процесс определения, согласования и документирования требований и целей качества проекта и соответствующего перечня стандартов","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000196
,,JAB,,"Определение инструментов, процедур, методов и ресурсов, необходимых для обеспечения соответствия принятым в проекте стандартам","Процесс определения, согласования и документирования инструментов, процедур, методов и ресурсов, необходимых для обеспечения соответствия принятым в проекте стандартам и требованиям",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000197
,,JAC,,"Определение методологии, методов и ресурсов, необходимых для исполнения процедур обеспечения качества","Процесс определения, согласования и формализации методологии, методов и ресурсов, необходимых для исполнения процедур обеспечения качества в проекте",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000198
,,JAD,,Разработка программы и плана обеспечения качества,"Процесс разработки, согласования и формализации программы и плана(-ов) обеспечения качества в проекте","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10005-2019
ГОСТ Р ИСО/МЭК ТО 16326-2002",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000199
,JB,,,Обеспечение качества по проекту,"Процесс обеспечения качества по проекту для гарантирования соблюдения требований к качеству результатов, процессов и проекта в целом","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 10006-2019",По предметной группе,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000200
,,JBA,,Обеспечение доведения всей информации по качеству до участников проекта,"Процесс обеспечения того, что основные цели проекта и стандарты качества, требования которых должны быть соблюдены, доведены до сведения соответствующих сотрудников, правильно поняты, приняты ими к исполнению и неукоснительно соблюдаются",ГОСТ Р ИСО 21500-2023,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000201
,,JBB,,Исполнение программы и плана качества в ходе реализации проекта,Процесс непосредственного исполнения задач и требований программы и плана качества в ходе реализации проекта,ГОСТ Р ИСО 21500-2023,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000202
,,JBC,,"Обеспечение применения выбранных инструментов, процедур, методов и ресурсов в ходе реализации проекта","Процесс обеспечения того, что выбранные инструменты, процедуры, методы и ресурсы фактически применяются в проекте","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9001-2015",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000203
,,JBD,,Повышение качества процессов и результатов работ по проекту,"Процесс внесения изменений в требования, цели, задачи качества и в систему качества в целом с целью повышения качества процессов и результатов работ по проекту","ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 9001-2015",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000204
,JC,,,Контроль качества по проекту,"Процесс контроля качества по проекту для определения того, достигнуты ли результаты проекта, соблюдены ли требования в области качества и обеспечено ли соответствие принятым стандартам и для выявления случаев несоответствия требованиям и разработки методов устранения выявленных несоответствий","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО 9001-2015",По предметной группе,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000205
,,JCA,,Мониторинг и оценка состояния выполнения требований по качеству,"Процесс мониторинга и установления достаточности, пригодности и корректности результатов выполнения требований по качеству для процессов и результатов работ по проекту","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 57193-2016",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000206
,,JCB,,Выявление отклонений от требований по качеству,"Процесс выявления и документирования отклонений от требований по качеству для процессов и результатов работ по проекту с использованием установленных инструментов, процедур и методов",ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000207
,,JCC,,Выявление возможных причин возникновения отклонений от требований по качеству,Процесс выявления и документирования возможных причин возникновения отклонений от требований по качеству для процессов и результатов работ по проекту,ГОСТ Р ИСО 21500-2023,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000208
,,JCD,,Определение мер реагирования на отклонения от требований по качеству,"Процесс определения, согласования и документирования мер реагирования на отклонения от требований по качеству для процессов и результатов работ по проекту","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9001-2015",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000209
,,JCE,,Оценка результатов исполнения мер реагирования на отклонения от требований по качеству,"Процесс установления достаточности, пригодности и корректности результатов исполнения мер реагирования на отклонения от требований по качеству для процессов и результатов работ по проекту",ГОСТ Р ИСО 9001-2015,,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000210
,,JCF,,Информирование участников проекта об изменениях требований по качеству и результатах исполнения мер реагирования на отклонения от требований по качеству,Процесс информирования участников проекта об изменениях требований по качеству и результатах исполнения мер реагирования на отклонения от требований по качеству для процессов и результатов работ по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9001-2015",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000211
K,,,,Управление закупками проекта,"Предметная группа процессов управления закупками проекта, охватывающая процессы, требуемые для планирования снабжения, приобретения или получения необходимых для завершения проекта продуктов, услуг или результатов, а также процессы управления взаимоотношениями с поставщиками по проекту","ГОСТ Р ИСО 21500-2023
ГОСТ Р 54869-2011
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 10006-2019",По виду процесса,,,,Сформулировано на основании результата анализа источников,,KSI070000212
,KA,,,Планирование закупок по проекту,Процесс планирования закупок по проекту для обеспечения планирования и документирования стратегии и общей процедуры осуществления закупок до момента начала закупочной деятельности по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019
ГОСТ Р 54869-2011",По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000213
,,KAA,,Определение потребностей в закупках по проекту,"Процесс определения, согласования и документирования потребностей в закупках по проекту",ГОСТ Р 54869-2011,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000214
,,KAB,,Определение требований к закупкам в проекте,"Процесс определения, согласования и документирования правил и требований к закупкам в проекте","ГОСТ Р 54869-2011
ГОСТ Р ИСО 10006-2019",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000215
,,KAC,,Подготовка плана закупок по проекту,"Процесс разработки, согласования и формализации плана закупок по проекту в соответствии с выявленными потребностями, правилами и требованиями к закупкам в проекте","ГОСТ Р 54869-2011
ГОСТ Р ИСО 10006-2019",,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000216
,,KAD,,Подготовка графика закупок по проекту,"Процесс разработки, согласования и формализации графика закупок по проекту в соответствии с планом закупок по проекту",ГОСТ Р ИСО 10006-2019,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000217
,KB,,,Выбор поставщиков по проекту,"Процесс выбора поставщиков по проекту, включающий сбор информации от потенциальных поставщиков для проведения всесторонней оценки предложений в сравнении с заявленными требованиями, рассмотрение и анализ полученной информации, а также выбор поставщика или поставщиков","ГОСТ Р ИСО 21500-2023
ГОСТ Р 57193-2016",По предметной группе,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000218
,,KBA,,Сбор информации о потенциальных поставщиках по проекту,"Процесс сбора информации о потенциальных поставщиках по проекту и установления достаточности, пригодности и корректности возможностей потенциальных поставщиков обеспечить достижение целей и задач проекта с учетом установленных ограничений",ГОСТ Р ИСО 21500-2023,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000219
,,KBB,,Формирование предложения потенциальным поставщикам,Процесс формирования и направления потенциальным поставщикам запроса на выполнение работ по проекту на договорной основе,"ГОСТ Р ИСО 21500-2023
ГОСТ Р 57193-2016",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000220
,,KBC,,Рассмотрение предложений от потенциальных поставщиков по проекту,Процесс рассмотрения и установления соответствия предложений потенциальных поставщиков заявленным требованиям,ГОСТ Р ИСО 21500-2023,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000221
,,KBD,,Оценка предложений от потенциальных поставщиков по проекту,"Процесс рассмотрения и установления достаточности, пригодности и корректности предложений потенциальных поставщиков заявленным требованиям, а также выявления предложений с наилучшими условиями","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000222
,,KBE,,Проведение переговоров с потенциальными поставщиками по проекту,"Процесс проведения переговоров с потенциальными поставщиками по проекту с целью уточнения, подтверждения или изменения условий предложения на исполнение работ по проекту","ГОСТ Р ИСО 21500-2023
ГОСТ Р 57193-2016",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000223
,,KBF,,Определение поставщиков и заключение договорных отношений по проекту,Процесс выбора поставщиков по проекту и заключения с ними договорных отношений,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 10006-2019
ГОСТ Р 57193-2016",,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000224
,,KBG,,Приемка результатов работ поставщиков по проекту,"Процесс приемки результатов работ поставщиков по проекту, включающий определение и оценку соответствия принимаемого объекта или работ установленным требованиям и формальное закрытие этапа договора или договора в целом в соответствии с условиями договора",ГОСТ Р 57193-2016,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000225
,,KBH,,Изменений условий договоров с поставщиками по проекту,Процесс внесения изменений в договоры с поставщиками по проекту,ГОСТ Р ИСО 10006-2019,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000226
,KC,,,Управление контрактами с поставщиками по проекту,Процесс управления взаимодействием заказчика с поставщиками по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 10006-2019",По предметной группе,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000227
,,KCA,,Отслеживание и оценка качества исполнения обязательств поставщиков по проекту,"Процесс отслеживания и установления соответствия установленным требованиям, достаточности, пригодности и корректности результатов исполнения обязательств поставщиков по проекту","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000228
,,KCB,,Контроль исполнения обязательств поставщиков по проекту,Процесс установления соответствия графику проекта исполнения обязательств поставщиков по проекту,"ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 10006-2019
ГОСТ Р 57193-2016",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000229
,,KCC,,Обеспечение соответствия результатов работ поставщиков требованиям проекта,"Процесс реализации всех необходимых мер для обеспечения соответствия результатов работ поставщиков всем требованиям, существующим в проекте относительно типа контракта, качества, исполнения, сроков и безопасности","ГОСТ Р ИСО 21500-2023
ГОСТ Р 57193-2016",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000230
L,,,,Управление поддерживающими процессами,"Предметная группа процессов управления поддерживающими процессами организации, охватывающая процессы повседневной деятельности организации и являющаяся неотъемлемой частью деятельности организации во всех секторах деятельности",ГОСТ Р 10.0.05-2019/ИСО 12006-2:2015,По виду процесса,,,,Сформулировано на основании результата анализа источников,,KSI070000231
,LA,,,Управление инфраструктурой процессов,"Процесс управления инфраструктурой процессов, охватывающих вопросы обеспечения организации и проекта всеми ресурсами, достаточными для достижения поставленных целей и задач организации и проекта, за исключением трудовых",ГОСТ Р 57193-2016,По предметной группе,,,,Сформулировано на основании результата анализа источников,,KSI070000232
,,LAA,,Определение требований к инфраструктуре процессов,"Процесс определения, согласования и документирования требований для технического и организационного обеспечения деятельности проекта и организации",ГОСТ Р 57193-2016,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000233
,,LAB,,Определение элементов инфраструктуры процессов,"Процесс определения, согласования и документирования перечня технических и организационных элементов инфраструктуры в соответствии с установленными требованиями",ГОСТ Р 57193-2016,,Планирование,"Определение перечня строительной техники и механизмов
Определение перечня вычислительной техники
Определение перечня аппаратных и программных средств
Определение перечня помещений для работы
Определение перечня средств для обеспечения переписки и оформления бумажной документации
Определение перечня средств связи
Определение перечня транспортных средств",,Сформулировано на основании результата анализа источников,,KSI070000234
,,LAC,,Анализ и оценка инфраструктуры процессов,"Процесс установления достаточности, пригодности и корректности обеспечения процессов необходимыми ресурсами (за исключением трудовых)","ГОСТ Р 57193-2016
ГОСТ Р ИСО 10006-2019",,Контроль,,,Сформулировано на основании результата анализа источников,,KSI070000235
,,LAD,,Изменение инфраструктуры процессов,Процесс внесения изменений в инфраструктуру проекта и организации,ГОСТ Р 57193-2016,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000236
,LB,,,Управление финансовыми процессами,Процесс управления финансовыми процессами организации для обеспечения её функционирования,ГОСТ Р 10.0.05-2019/ИСО 12006-2:2015,По предметной группе,,,"НД 05 04 60
НД 05 04",Сформулировано на основании результата анализа источников,"Брокерская деятельность,
Деятельность в области права, финансов и страхования",KSI070000237
,,LBA,,Управление страхованием,"Процесс управления страховыми операциями в сфере обеспечения безопасности деятельности, связанной с различными видами подверженности риску ущерба",ЕСККАЭ.1,,,,НД 05 04 40,Сформулировано на основании результата анализа источников,Страховая деятельность,KSI070000238
,,LBB,,Управление банковскими услугами,Процесс управления банковскими операциями,,,,,НД 05 04 50,Сформулировано на основании результата анализа источников,Банковская деятельность,KSI070000239
,,LBC,,Управление бухгалтерией,Процесс управления бухгалтерскими услугами,,,,,НД 05 04 20,Сформулировано на основании результата анализа источников,Налоговое консультирование,KSI070000240
,,LBD,,Управление инвестициями,"Процесс управления инвестициями проекта и организации для увеличения конкурентоспособности организации, экономического роста и их развития",,,,,,Сформулировано на основании результата анализа источников,,KSI070000241
,,LBE,,Управление маркетингом и сбытом,"Процесс управления маркетингом и сбытом, включающий анализ рыночной среды и внутренних возможностей организации, планирование, реализацию и контроль за проведением мероприятий для достижения целей и задач организации","ГОСТ Р 10.0.05-2019/ИСО 12006-2:2015
ГОСТ Р 54147-2010",,,,,Сформулировано на основании результата анализа источников,,KSI070000242
,,LBF,,Управление компенсациями и льготами,Процесс управления компенсациями и льготами,Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,,,Сформулировано на основании результата анализа источников,,KSI070000243
,,LBG,,Управление поступлением денежных средств,Процесс управления поступлением дополнительных денежных средств для обеспечения деятельности организации и проекта и обеспечения достижения их целей и задач,,,,"Управление займами
Управление кредитами
Управление ссудами
Управление арендой
Управление пожертвованиями
Управление субсидиями
Управление субвенциями
Управление дотациями
Управление грантами",,Сформулировано на основании результата анализа источников,,KSI070000244
,,LBH,,Управление командированием,Процесс управления командированием сотрудников организации и членов команды проекта,ЕСККАЭ.1,,,,,Сформулировано на основании результата анализа источников,,KSI070000245
,LC,,,Управление государственными услугами,Процесс управления государственными услугами,Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,По предметной группе,,,НД 05 04 30,Сформулировано на основании результата анализа источников,Налоговая инспекция,KSI070000246
,,LCB,,Управление аккредитацией,Процесс управления аккредитацией,,,,,,Сформулировано на основании результата анализа источников,,KSI070000247
,,LCC,,Управление сертификацией,Процесс управления сертификацией,Федеральный закон от 27.12.2002 N 184-ФЗ,,,,,Сформулировано на основании результата анализа источников,,KSI070000248
,,LCD,,Управление государственным регулированием и законодательной деятельностью,Процесс управления государственным регулированием и законодательной деятельностью,Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,,,Сформулировано на основании результата анализа источников,,KSI070000249
,,LCE,,Управление экспертизой,Процесс управления экспертизой,Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,,,Сформулировано на основании результата анализа источников,,KSI070000250
,LD,,,Управление юридическими услугами,Процесс управления юридическими услугами,,По предметной группе,,,НД 05 04,Сформулировано на основании результата анализа источников,"Деятельность в области права, финансов и страхования",KSI070000251
,,LDA,,Подготовка к судебным разбирательствам и слушаниям,Процесс подготовки к судебным разбирательствам и слушаниям,,,,,,Сформулировано на основании результата анализа источников,,KSI070000252
,,LDB,,Проведение судебных разбирательств и слушаний,Процесс проведения судебных разбирательств и слушаний,,,,,,Сформулировано на основании результата анализа источников,,KSI070000253
,,LDC,,Юридическая консультация,Процесс оказания юридических консультаций,,,,,НД 05 04 10,Сформулировано на основании результата анализа источников,Юридическое консультирование,KSI070000254
,,LDD,,Юридическое регулирование деятельности организации,Процесс юридического регулирования деятельности организации,,,,,,Сформулировано на основании результата анализа источников,,KSI070000255
,LE,,,Управление связями с общественностью,Процесс управления связями с общественностью,,,,,,Сформулировано на основании результата анализа источников,,KSI070000256
,LF,,,Управление услугами по устному и письменному переводу,Процесс управления услугами по устному и письменному переводу,,,,,,Сформулировано на основании результата анализа источников,,KSI070000257
,LG,,,Управление почтовой деятельностью,Процесс управления почтовой деятельностью,,,,,,Сформулировано на основании результата анализа источников,,KSI070000258
,LH,,,"Управление имуществом, недвижимостью и общественными объединениями","Процесс управления имуществом, недвижимостью и общественными объединениями",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,,"НД 05 05 01
НД 05 05 02",Сформулировано на основании результата анализа источников,"Аренда и управление собственным или арендованным жилым недвижимым имуществом
Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе
",KSI070000259
