Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа процессов,Примеры,Примечания,Синонимы,УИН
,,,BFHB,,"Формирование графической части ""Отопление, вентиляция и кондиционирование воздуха, тепловые сети"" в составе Раздела 5","Оформление результатов проектирования в соответствии с требованиями к содержанию графической части подраздела ""Отопление, вентиляция и кондиционирование воздуха, тепловые сети"" в составе Раздела 5 проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Принципиальная схема систем отопления, вентиляции и кондиционирования воздуха
План сетей теплоснабжения
Схема паропроводов
Схема холодоснабжения
Схемы расположения в зданиях, строениях и сооружениях приборов учета энергетических ресурсов, используемых инженерным оборудованием систем отопления, вентиляции и кондиционирования воздуха, а также тепловых сетей
",Сформулировано на основании результата анализа источников,,KSI100000150
,,BFJ,,,"Формирование проектной документации ""Сети связи"" в составе Раздела 5","Оформление результатов проектирования в соответствии с требованиями к содержанию подраздела ""Сети связи"" в составе Раздела 5 проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000151
,,,BFJA,,"Формирование текстовой части ""Сети связи"" в составе Раздела 5","Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части подраздела ""Сети связи"" в составе Раздела 5 проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание характеристик проектируемых сооружений и линий связи
Обоснование способа, с помощью которого устанавливаются соединения сетей связи
Описание системы внутренней связи, часофикации, радиофикации, телевидения
Сведения о емкости присоединяемой сети связи объекта капитального строительства к сети связи общего пользования
Описание характеристик состава и структуры сооружений и линий связи
Описание местоположения точек присоединения и технические параметры в точках присоединения сетей связи
Обоснование способов учета трафика
Перечень мероприятий по обеспечению взаимодействия систем управления и технической эксплуатации, в том числе обоснование способа организации взаимодействия между центрами управления присоединяемой сети связи и сети связи общего пользования, взаимодействия систем синхронизации
Перечень мероприятий по обеспечению устойчивого функционирования сетей связи, в том числе в чрезвычайных ситуациях
Описание технических решений по защите информации
Описание характеристик и обоснование принятых технических решений в отношении технологических сетей связи, предназначенных для обеспечения производственной деятельности на объекте капитального строительства, управления технологическими процессами производства 
Обоснование применяемого коммутационного оборудования, позволяющего производить учет исходящего трафика на всех уровнях присоединения
Описание характеристик принятой локальной вычислительной сети
Обоснование выбранной трассы линии связи к установленной техническими условиями точке присоединения, в том числе воздушных и подземных участков. Определение границ охранных зон линий связи исходя из особых условий пользования
",Сформулировано на основании результата анализа источников,,KSI100000152
,,,BFJB,,"Формирование графической части ""Сети связи"" в составе Раздела 5","Оформление результатов проектирования в соответствии с требованиями к содержанию графической части подраздела ""Сети связи"" в составе Раздела 5 проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Принципиальная схема сетей связи, локальных вычислительных сетей
План размещения оконечного оборудования
План сетей связи
Схемы тактовой сетевой синхронизации, связанные со схемой тактовой сетевой синхронизации сети общего пользования
",Сформулировано на основании результата анализа источников,,KSI100000153
,,BFK,,,"Формирование проектной документации ""Система газоснабжения"" в составе Раздела 5","Оформление результатов проектирования в соответствии с требованиями к содержанию подраздела ""Система газоснабжения"" в составе Раздела 5 проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000154
,,,BFKA,,"Формирование текстовой части ""Система газоснабжения"" в составе Раздела 5","Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части подраздела ""Система газоснабжения"" в составе Раздела 5 проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание расчетных (проектных) данных о потребности ОКС в газе
Описание технических решений по обеспечению учета и контроля расхода газа
Обоснование выбора маршрута прохождения газопровода
Описание характеристик источника газоснабжения в соответствии с техническими условиями, сведения о параметрах топлива, требованиях к надежности и качеству поставляемого топлива
Сведения о типе и количестве установок, потребляющих топливо, параметрах и режимах их работы
Описание и обоснование применяемых систем автоматического регулирования и контроля тепловых процессов
Описание технических решений по обеспечению учета и контроля расхода газа, применяемых систем автоматического регулирования
Описание мест расположения приборов учета используемого газа и устройств сбора и передачи данных от таких приборов
Описание способов контроля температуры и состава продуктов сгорания газа
Описание технических решений по обеспечению теплоизоляции ограждающих поверхностей агрегатов и теплопроводов
Перечень сооружений резервного топливного хозяйства
Обоснование технических решений устройства электрохимической защиты стального газопровода от коррозии
Сведения о средствах телемеханизации газораспределительных сетей, объектов их энергоснабжения и электропривода
Перечень мероприятий по обеспечению безопасного функционирования объектов системы газоснабжения, в том числе описание и обоснование проектируемых инженерных систем по контролю и предупреждению возникновения потенциальных аварий, систем оповещения и связи
Перечень мероприятий по созданию аварийной спасательной службы и мероприятий по охране систем газоснабжения
Перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности объекта капитального строительства
Сведения о показателях энергетической эффективности объекта капитального строительства, в том числе о показателях, характеризующих годовую удельную величину расхода топлива в объекте капитального строительства
Сведения о нормируемых показателях удельных годовых расходов топлива и максимально допустимых величинах отклонений от таких нормируемых показателей
Перечень мероприятий по учету и контролю расходования используемого топлива
Спецификация предполагаемого к применению оборудования, изделий, материалов, позволяющих исключить нерациональный расход топлива, в том числе основные их характеристики
",Сформулировано на основании результата анализа источников,,KSI100000155
,,,BFKB,,"Формирование графической части ""Система газоснабжения"" в составе Раздела 5","Оформление результатов проектирования в соответствии с требованиями к содержанию графической части подраздела ""Система газоснабжения"" в составе Раздела 5 проектной документации ОКС производственного и непроизводственного назначения",Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Схема маршрута прохождения газопровода в пределах границ земельного участка, предназначенного для размещения объекта капитального строительства, с указанием границ охранной зоны такого газопровода и сооружений на нем
План расположения производственных объектов и газоиспользующего оборудования
План сетей газоснабжения
План расположения объектов капитального строительства и газоиспользующего оборудования
Схемы расположения в зданиях, строениях и сооружениях приборов учета энергетических ресурсов, используемых инженерным оборудованием системы газоснабжения
",Сформулировано на основании результата анализа источников,,KSI100000156
,,BFL,,,"Формирование проектной документации раздела 6 ""Технологические решения"" ",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 6 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000157
,,,BFLA,,"Формирование текстовой части Раздела 6 проектной документации ""Технологические решения""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 6 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Обоснование потребности в основных видах ресурсов для технологических нужд
Описание автоматизированных систем, используемых в производственном процессе
Описание и обоснование проектных решений, направленных на соблюдение требований технологических регламентов
Описание характеристик принятой технологической схемы производства в целом и характеристику отдельных параметров технологического процесса, требования к организации производства, данные о трудоемкости изготовления продукции
Описание мест расположения приборов учета используемых в производственном процессе энергетических ресурсов и устройств сбора и передачи данных от таких приборов
Описание источников поступления сырья и материалов
Описание требований к параметрам и качественным характеристикам продукции
Обоснование показателей и характеристик принятых технологических процессов и оборудования
Обоснование количества и типов вспомогательного оборудования, в том числе грузоподъемного оборудования, транспортных средств и механизмов
Перечень мероприятий по обеспечению выполнения требований, предъявляемых к техническим устройствам, оборудованию, зданиям, строениям и сооружениям на опасных производственных объектах
Описание сведений о расчетной численности, профессионально-квалификационном составе работников с распределением по группам производственных процессов, числе рабочих мест и их оснащенности, перечень всех организуемых постоянных рабочих мест отдельно по каждому зданию, строению и сооружению, а также решения по организации бытового обслуживания персонала
Перечень мероприятий, обеспечивающих соблюдение требований по охране труда при эксплуатации производственных и непроизводственных объектов капитального строительства (кроме жилых зданий), и решений, направленных на обеспечение соблюдения нормативов допустимых уровней воздействия шума и других нормативов допустимых физических воздействий на постоянных рабочих местах и в общественных зданиях
Перечень мероприятий, направленных на предупреждение вредного воздействия факторов производственной среды и трудового процесса на состояние здоровья работника
Результаты расчетов о количестве и составе вредных выбросов в атмосферу и сбросов в водные источники
Перечень мероприятий по предотвращению (сокращению) выбросов и сбросов вредных веществ в окружающую среду
Описание сведений о виде, составе и планируемом объеме отходов производства, подлежащих утилизации и захоронению, с указанием класса опасности отходов 
Перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности к устройствам, технологиям и материалам, используемым в производственном процессе, позволяющих исключить нерациональный расход энергетических ресурсов
Обоснование выбора функционально-технологических, конструктивных и инженерно-технических решений, используемых в объектах производственного назначения, в части обеспечения соответствия зданий, строений и сооружений требованиям энергетической эффективности и требованиям оснащенности их приборами учета используемых энергетических ресурсов
Описание и обоснование проектных решений при реализации требований, предусмотренных статьей 8 Федерального закона ""О транспортной безопасности"" 
",Сформулировано на основании результата анализа источников,,KSI100000158
,,,BFLB,,"Формирование графической части Раздела 6 проектной документации ""Технологические решения""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 6 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Принципиальная схема технологических процессов
Технологическая планировка по корпусам с указанием мест размещения основного технологического оборудования
Схема грузопотоков
Схемы, предусмотренные подпунктами ""б"" - ""г"" , ""е""  и ""з"" пункта 6 требований по обеспечению транспортной безопасности объектов транспортной инфраструктуры по видам транспорта на этапе их проектирования и строительства , утвержденных постановлением Правительства Российской Федерации от 31 декабря 2020 г. N 2418 ""Об утверждении требований по обеспечению транспортной безопасности объектов транспортной инфраструктуры по видам транспорта на этапе их проектирования и строительства""
Схема автоматизированного управления технологическими процессами
",Сформулировано на основании результата анализа источников,,KSI100000159
,,BFM,,,"Формирование Раздела 7 проектной документации ""Проект организации строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 7 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000160
,,,BFMA,,"Формирование текстовой части Раздела 7 проектной документации ""Проект организации строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 7 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,"Описание характеристики района по месту расположения ОКС
Описание особенностей проведения работ в условиях действующего предприятия
Обоснование принятой организационно-технологической схемы
Описание проектных решений и мероприятий по охране окружающей среды в период строительства, реконструкции, капитального ремонта
Описание транспортной инфраструктуры
Сведения о возможности использования местной рабочей силы при осуществлении строительства, реконструкции, капитального ремонта
Перечень мероприятий по привлечению для осуществления строительства, реконструкции, капитального ремонта квалифицированных специалистов, а также студенческих строительных отрядов, в том числе для выполнения работ вахтовым методом
Характеристика земельного участка, предназначенного для строительства, реконструкции объекта капитального строительства, обоснование необходимости использования для строительства, реконструкции иных земельных участков вне земельного участка, предназначенного для строительства, реконструкции
Описание особенностей проведения работ в условиях стесненной городской застройки, в местах расположения подземных коммуникаций, линий электропередачи и связи
Перечень видов строительных и монтажных работ, ответственных конструкций, участков сетей инженерно-технического обеспечения, подлежащих освидетельствованию с составлением соответствующих актов приемки перед производством последующих работ и устройством последующих конструкций
Описание технологической последовательности работ при возведении объектов капитального строительства или их отдельных элементов
Обоснование потребности строительства, реконструкции, капитального ремонта в кадрах, основных строительных машинах, механизмах, транспортных средствах, в топливе и горюче-смазочных материалах, а также в электрической энергии, паре, воде, временных зданиях и сооружениях
Обоснование размеров и оснащения площадок для складирования материалов, конструкций, оборудования, укрупненных модулей и стендов для их сборки. Решения по перемещению тяжеловесного негабаритного оборудования, укрупненных модулей и строительных конструкций
Предложения по обеспечению контроля качества строительных и монтажных работ, а также поставляемых на площадку и монтируемых оборудования, конструкций и материалов
Предложения по организации службы геодезического и лабораторного контроля
Перечень требований, которые должны быть учтены в рабочей документации, разрабатываемой на основании проектной документации, в связи с принятыми методами возведения строительных конструкций и монтажа оборудования
Обоснование потребности в жилье и социально-бытовом обслуживании персонала, участвующего в строительстве, реконструкции, капитальном ремонте, реконструкции, капитальном ремонте
Перечень мероприятий и проектных решений по определению технических средств и методов работы, обеспечивающих выполнение нормативных требований охраны труда
Описание проектных решений и мероприятий по охране объектов в период строительства, реконструкции, капитального ремонта
Описание проектных решений и мероприятий по реализации требований,  по обеспечению транспортной безопасности объектов транспортной инфраструктуры по видам транспорта на этапе их проектирования и строительства
Обоснование принятой продолжительности строительства, реконструкции, капитального ремонта объекта капитального строительства и отдельных этапов строительства, реконструкции
Перечень мероприятий по организации мониторинга за состоянием зданий и сооружений, расположенных в непосредственной близости от строящегося объекта, земляные, строительные, монтажные и иные работы на котором могут повлиять на техническое состояние и надежность таких зданий и сооружений
Описание мероприятий, решений и обоснований в случае необходимости сноса существующих на земельном участке зданий, строений и сооружений
Перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности
",Сформулировано на основании результата анализа источников,,KSI100000161
,,,BFMB,,"Формирование графической части Раздела 7 проектной документации ""Проект организации строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 7 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,"Календарный план строительства, включая подготовительный период
Строительный генеральный план подготовительного периода строительства
Схемы движения транспортных средств на строительной площадке
Планы, чертежи схемы в случае необходимости сноса существующих на земельном участке зданий, строений и сооружений
",Сформулировано на основании результата анализа источников,,KSI100000162
,,BFP,,,"Формирование Раздела 8 проектной документации ""Мероприятия по охране окружающей среды""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 8 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000163
,,,BFPA,,"Формирование текстовой части Раздела 8 проектной документации ""Мероприятия по охране окружающей среды""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 8 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Результаты оценки воздействия ОКС на окружающую среду
Описание мероприятий по предотвращению и снижению возможного негативного воздействия намечаемой хозяйственной деятельности на окружающую среду
Перечень и расчет затрат на реализацию природоохранных мероприятий и компенсационных выплат
",Сформулировано на основании результата анализа источников,,KSI100000164
,,,BFPB,,"Формирование графической части Раздела 8 проектной документации ""Мероприятия по охране окружающей среды""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 8 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Ситуационный план (карта-схема) района строительства с указанием на нем границ земельного участка, границ санитарно-защитной зоны, селитебной территории, рекреационных зон, водоохранных зон, зон охраны источников питьевого водоснабжения, мест обитания животных и растений, занесенных в Красную книгу Российской Федерации и красные книги субъектов Российской Федерации, а также мест нахождения расчетных точек
Карта-схема и сводные таблицы с результатами расчетов загрязнения атмосферы
Ситуационный план (карта-схема) района строительства с указанием границ земельного участка, предоставленного для размещения объекта капитального строительства, расположения источников выбросов в атмосферу загрязняющих веществ и устройств по очистке этих выбросов
Ситуационный план размещения объекта капитального строительства с указанием расчетных точек, границ ближайших территориальных зон, границ зон с особыми условиями использования территорий, а также с отображением проектируемых зданий, строений и сооружений
Ситуационный план (карта-схема) района с указанием границ земельного участка, предоставленного для размещения объекта капитального строительства, с указанием контрольных пунктов, постов, скважин и иных объектов, обеспечивающих отбор проб воды из поверхностных водных объектов, а также подземных вод
",Сформулировано на основании результата анализа источников,,KSI100000165
,,BFQ,,,"Формирование Раздела 9 проектной документации ""Мероприятия по обеспечению пожарной безопасности""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 9 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000166
,,,BFQA,,"Формирование текстовой части Раздела 9 проектной документации ""Мероприятия по обеспечению пожарной безопасности""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 9 проектной документации ОКС производственного и непроизводственного назначения,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание системы обеспечения пожарной безопасности ОКС
Обоснование противопожарных расстояний между зданиями, сооружениями и наружными установками
Описание и обоснование проектных решений по обеспечению безопасности людей при возникновении пожара
Описание и обоснование проектных решений по наружному противопожарному водоснабжению, по определению проездов и подъездов для пожарной техники
Описание и обоснование принятых конструктивных и объемно-планировочных решений, степени огнестойкости и класса конструктивной пожарной опасности строительных конструкций
Перечень мероприятий по обеспечению безопасности подразделений пожарной охраны при ликвидации пожара
Сведения о категории зданий, сооружений, помещений, оборудования и наружных установок по признаку взрывопожарной и пожарной опасности
Перечень зданий, сооружений, помещений и оборудования, подлежащих защите автоматическими установками пожаротушения и оборудованию автоматической пожарной сигнализацией
Описание и обоснование противопожарной защиты 
Описание и обоснование необходимости размещения оборудования противопожарной защиты, управления таким оборудованием, взаимодействия такого оборудования с инженерными системами зданий и оборудованием, работа которого во время пожара направлена на обеспечение безопасной эвакуации людей, тушение пожара и ограничение его развития, а также алгоритма работы технических систем (средств) противопожарной защиты (при наличии)
Описание организационно-технических мероприятий по обеспечению пожарной безопасности объекта капитального строительства
Расчет пожарных рисков угрозы жизни и здоровью людей и уничтожения имущества 
",Сформулировано на основании результата анализа источников,,KSI100000167
