Класс,Подкласс 1,Подкласс 2,"Тип
(%%)",Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,"Примеры компонентов по ISO
по ISO 81346-2:2019","Примеры компонентов (НТД РФ)
(НТД РФ)",IFC-entity,КСР,МССК,ПСК,Примечание,Синонимы
,,KFA,,передатчик,объект ретрансляции электрических сигналов передающий сигнал без задержек,,,разветвитель,,"IfcCommunicationsAppliance, IfcElectricAppliance",,,,,
,,KFB,,передатчик с временной задержкой,объект ретрансляции электрических сигналов передающий сигнал с задержкой,,,,,"IfcCommunicationsAppliance, IfcElectricAppliance",,,,,
,,KFC,,повторитель,"объект ретрансляции электрических сигналов путем повторения входного сигнала и его последующего усиления на выходе
-
Устройство, регенерирующее (усиливающее и/или восстанавливающее) сигнал, проходящий по сети, для увеличения расстояния передачи сигнала, а также для соединения двух сетей одного типа.","СТО НП ""АВОК"" 8.1.2-2008",,,,"IfcCommunicationsAppliance, IfcElectricAppliance",,,,,
,,KFD,,мост сетевой,"объект ретрансляции электрических сигналов путем соединения нескольких сегментов сети передачи данных
-
Устройство, позволяющее осуществить связь двух сетей одинаковой или схожей топологии.",ГОСТ Р 55563-2013,,,,"IfcCommunicationsAppliance, IfcElectricAppliance",,,,,
,,KFE,,сетевой коммутатор,"объект ретрансляции электрических сигналов путем переадресации входного сигнала определенным устройствам внутри сети передачи данных
-
Устройство, предназначенное для соединения нескольких узлов компьютерной сети в пределах одного или нескольких сегментов сети.",СТО АВТОДОР 5.1-2015,,,,"IfcCommunicationsAppliance, IfcElectricAppliance",,,,,
,KG,,,объект обработки оптических сигналов,объект обработки информации оптических сигналов,ISO 81346-2:2019,Вид функциональности,,,,,,,,
,,KGA,,оптический коммутатор,"объект обработки оптических сигналов путем активной переадресации входного сигнала определенным устройствам внутри оптической сети
-
Совокупность оптических коммутационных приборов, реализующая полнодоступную схему на ""n"" входов и ""m"" выходов, объединенная конструктивно и схемно",ГОСТ Р 57139-2016 ,,,,IfcCommunicationsAppliance,,,,,
,,KGB,,оптический маршрутизатор,"объект обработки оптических сигналов, передающий пакеты данных между компьютерными сетями",,,,,IfcCommunicationsAppliance,,,,,
,,KGC,,оптический повторитель,объект обработки оптических сигналов путем повторения входного сигнала и его последующего усиления на выходе,,,,,IfcCommunicationsAppliance,,,,,
,KH,,,объект обработки сигналов от жидкости,объект обработки информации сигналов от жидкостей,ISO 81346-2:2019,Вид назначения,,,,,,,,
,,KHA,,регулятор расхода или давления воды,"объект обработки сигналов от жидкости для управления обратной связью
-
Устройство, позволяющее поддерживать установленное значение расхода или давления воды независимо от колебаний давления на входе. ","ГОСТ 31856-2012 (EN 26:1997)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,,,ЭЛ 40 15 42 50,,,
,,KHB,,управляющий клапан,"объект обработки сигналов от жидкости, ретранслирующий сигналы
-
Клапан, регулирующий расход среды (например, сжатого воздуха) для привода.","ГОСТ 34330-2017
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,IfcValve,,ЭЛ 40 15 30 40,,,
,KJ,,,объект обработки механических сигналов,объект обработки информации механических сигналов,ISO 81346-2:2019,Вид метода,,,,,,,,
,,KJA,,механический регулятор,"объект обработки механических сигналов, регулирующий поток воздуха или жидкости",,,,,IfcAirTerminalBox,,,,,
,,KJB,,запорный цилиндр,объект обработки механических сигналов для запирания/отпирания запорного механизма,,,,,,,,,,
,,KJC,,клавишное кодирующее устройство,"объект обработки механических сигналов, обеспечивающий двоичное состояние механического устройства",,,клавиатура,,,,,,,
,KZ,,,объект обработки сигналов нескольких видов,объект обработки информации сигналов нескольких видов,ISO 81346-2:2019,Вид метода,,,,,,,,
,,KZA,,мульти-видовой переключатель,"объект обработки сигналов нескольких видов, переадресующий входные данные конкретным устройствам",,,,,,,,,,
M_,,,,"объект, приводящий в движение","объект, обеспечивающий механическое перемещения или создающий усилие",ISO 81346-2:2019,Вид движущей силы,,,,,,,,
,MA,,,электромагнитный вращательный движущий объект,"объект, обеспечивающий движение в виде крутящего момента, приводимого в движение электромагнитной силой",ISO 81346-2:2019,Вид движения,,,,,,,,
,,MAA,,электрический двигатель,"электромагнитный вращательный движущий объект, обеспечивающий непрерывное вращение
-
Электрическая машина, предназначенная преобразовывать электрическую энергию в механическую энергию.",ГОСТ IEC 60050-151-2014,,"Двигатель переменного тока, асинхронный двигатель, двигатель постоянного тока, индукционный двигатель, электродвигатель с постоянными магнитами,
сервомотор, синхронный двигатель",,IfcElectricMotor,,,,,
,,MAB,,шаговый двигатель,"электромагнитный вращательный движущий объект, обеспечивающий отдельные чередующиеся шаги
-
Двигатель, ротор которого вращается дискретными угловыми приращениями, когда обмотки статора возбуждены в заданном режиме.",ГОСТ IEC/TS 60034-20-1-2013,,,,IfcElectricMotor,,,,,
,MB,,,объект электромагнитного линейного движения,"объект, обеспечивающий движение в виде линейного усилия, приводимого в движение электромагнитной силой",ISO 81346-2:2019,Вид метода,,,,,,,,
,,MBA,,линейный двигатель,"объект электромагнитного линейного движения, обеспечивающий непрерывное движение",,,,,IfcElectricMotor,,,,,
,,MBB,,электромагнит,"объект электромагнитного линейного движения, обеспечивающий отдельные шаги",,,"привод, соленоид",,,,,,,
,MC,,,"движущий объект, приводимый в действие магнитной силой","движущий объект, приводимый в действие магнитной силой",ISO 81346-2:2019,Вид метода,,,,,,,,
,,MCA,,машина с постоянными магнитами,"движущий объект, приводимый в действие магнитной силой при помощи постоянного магнита
-
Машина, в которой система возбуждения состоит из одного или более постоянных магнитов.",,,,,,,,,,
,MD,,,"движущий объект, приводимый в действие пьезоэлектрической силой","движущий объект, приводимый в действие пьезоэлектрической силой",ISO 81346-2:2019,Вид метода,,,,,,,,
,,MDA,,пьезоэлектрический двигатель,"движущий объект, приводимый в действие пьезоэлектрической силой при помощи пьезоэлектрического кристалла",,,пьезоэлектрический привод,,,,,,,
,ML,,,"движущий объект, приводимый в действие механической энергией","движущий объект, приводимый в действие механической энергией",ISO 81346-2:2019,Вид механического источника,,,,,,,,
,,MLA,,гравитационно-энергетическая установка,"движущий объект, приводимый в действие механической энергией путем высвобождения гравитационной энергии",,,американские горки,,,,,,,
,,MLB,,привод на основе упругой энергии,"движущий объект, приводимый в действие механической энергией путем высвобождения упругой энергии",,,устройство пружинного привода,,,,,,,
,,MLC,,ветряная турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии движущегося воздуха",,,,,,,,,,
,,MLD,,водяная турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии текущей воды",,,,,,,,,,
,,MLE,,газовая турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии и реактивной силы потока газов и/или расширяющихся газов
-
Компонент газотурбинного двигателя, преобразующий потенциальную энергию нагретого рабочего тела под давлением в механическую работу ",ГОСТ Р 51852-2001,,,,,,,,,
,MM,,,"движущий объект, приводимый в действие жидкостью","движущий объект, приводимый в действие перемещением или давлением жидкости",ISO 81346-2:2019,Вид источника жидкости,,,,,,,,
,,MMA,,гидроцилиндр,"движущий объект, приводимый в действие жидкостью, обеспечивающий движение, соответствующее объему жидкости
-
Объемный гидродвигатель (объемный пневмодвигатель) с возвратно-поступательным движением выходного звена ",ГОСТ 17752-81,,,,,,,,,
,,MMB,,пневмоцилиндр,"движущий объект, приводимый в действие жидкостью, обеспечивающий перемещение в конечные положения в зависимости от давления газа",,,,,,,,,,
,,MMC,,двигатель гидравлический,"движущий объект, приводимый в действие жидкостью, обеспечивающий вращение потоком жидкости",,,,,,,,,,
,,MMD,,двигатель пневматический,"движущий объект, приводимый в действие жидкостью, обеспечивающий вращение газом под давлением",,,,,,,,,,
,MS,,,двигатель внутреннего сгорания,"движущий объект, приводимый в действие сгоранием топлива",ISO 81346-2:2019,Вид двигателя,,,IfcEngine,,,,,
,,MSA,,двигатель внутреннего сгорания,"двигатель внутреннего сгорания в цилиндрах с поршнями, приводимыми в действие искровым зажиганием
-
Тепловой двигатель, в котором химическая энергия топлива, сгорающего в рабочей полости, преобразуется в механическую работу.",ГОСТ 33670-2015,,,,IfcEngine,,,,,
,,MSB,,дизельный двигатель,"двигатель внутреннего сгорания в цилиндрах с поршнями, приводимыми в действие зажиганием от сжатия
-
Поршневой двигатель внутреннего сгорания с внутренним смесеобразованием, сжатием воздуха, впрыском топлива и его самовоспламенением, работающий на дизельном топливе.",ГОСТ Р 58787-2019  ,,,,IfcEngine,,,,,
,,MSC,,роторно-поршневой двигатель,"двигатель внутреннего сгорания в кольцевом отсеке с эксцентриковым вращающимся поршнем, работающим от искрового зажигания",,,,,IfcEngine,,,,,
,MT,,,тепловой двигатель,"движущий объект, приводимый в действие внешним источником тепла",ISO 81346-2:2019,Вид двигателя,,,,,,,,
,,MTA,,паровая машина,"тепловой двигатель, использующий расширяющийся пар, действующий на один поршень",,,,,,,,,,
,,MTB,,двигатель Стирлинга,"тепловой двигатель, использующий два поршня в одном нагретом и одном охлажденном цилиндре или цилиндрической части",,,,,,,,,,
N_,,,,"объект, осуществляющий закрытие (покрытие)","объект, частично или полностью закрывающий другой объект",ISO 81346-2:2019,Вид метода,,,,,,,,
,NA,,,заполняющий объект,"объект, осуществляющий покрытие при помощи заполнения проемов",ISO 81346-2:2019,Вид назначения заполнения,,,,,,,,
,,NAA,,светопрозрачное заполнение,"заполняющий объект, не препятствующий проникновению света",,,,,,,,,,
,,NAB,,панель,"заполняющий объект, препятствующий проникновению света и твердых объектов",,,,,IfcWall,,,,,
,,NAC,,решетка,"заполняющий объект, не препятствующий проникновению жидкости",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,"IfcAirTerminal, IfcCovering",,"ЭЛ 40 15 20 52
ЭЛ 40 40 20 20",,,
,,NAD,,герметичное соединение,"заполняющий объект, препятствующий проникновению жидкости
-
Обеспечение непроницаемости узла сопряжения между водонепроницаемыми конструкциями или элементами сооружения.","СП 250.1325800.2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"прокладка, сальник, раствор",изолирующий шов,,,ЭЛ 40 15 20 45,,,
,NB,,,закрывающий объект,"объект, осуществляющий покрытие при помощи закрытия проемов (отверстий)",ISO 81346-2:2019,Вид объекта для закрытия,,,,,,,,
,,NBA,,дверное полотно,"закрывающий объект в двери
-
Сборочная единица дверного блока, соединенная с коробкой посредством подвижных связей (петель).",ГОСТ 475-2016,,,,,,,,,
,,NBB,,воротное полотно,закрывающий объект в воротах,,,,,,,,,,
,,NBC,,дверца,закрывающий объект для ограниченного (огражденного) пространства,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"дверца щита, дверь шкафа, смотровой люк, лючок бензобака","дверца топки
",IfcDoor,,ЭЛ 30 18 30,,,
,,NBD,,двери гейта,закрывающий объект в гейте,,,,,IfcDoor,,,,,
,,NBE,,крышка люка,"закрывающий объект в люке
-
Крышка доступа к люку.",ГОСТ Р ИСО 6707-1-2020,,"лицевая панель, крышка корпуса","ревизионный люк
форточка",IfcDoor,,,,,
,NC,,,объект отделки,"объект, осуществляющий покрытие при помощи специализированных конструкций и отделочных материалов",ISO 81346-2:2019,Вид объекта для защиты,,,,,,,,
,,NCA,,дорожное покрытие,объект устройства дорожного покрытия,,,,покрытие дорожной одежды,"IfcBuildingElementProxy, IfcSlab",,,,,
,,NCB,,отделочное покрытие стены,"объект отделки стены
-
Материал  для завершающего этапа работ по покрытию и обработке стены",ГОСТ Р ИСО 6707-1-2020,,,"облицовка
отделка внешних поверхностей наружных стен",IfcCovering,,,,,
,,NCC,,напольное покрытие,"объект отделки пола
-
Предварительно изготовленный продукт в виде рулонов и плиток, который может быть использован в качестве финишного покрытия пола в помещении, воспринимающего эксплуатационные воздействия.",ГОСТ Р 58211-2018,,,"облицовка
покрытие",IfcCovering,,,,,
,,NCD,,потолочное покрытие,"объект отделки потолка
-
Строительная конструкция, скрывающая нижнюю плоскость перекрытия или крыши с конструктивными элементами или инженерными сетями и обеспечивающая верхнюю плоскость замкнутого пространства ","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,облицовка,IfcCovering,,ЭЛ 30 10 45,,,
,,NCE,,кровельное покрытие,объект отделки крыши,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,защитный слой,IfcCovering,,ЭЛ 20 10,,,
,,NCF,,подоконник,"объект отделки проема
-
Деталь нижней части внутреннего обрамления оконного проема: доска, профиль или плита, укладываемые на уровне нижнего бруса оконной коробки и выполненные из дерева, ПВХ, камня, металла, железобетона. ","ГОСТ 30971-2012
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,внутренний подоконник,подоконник,IfcCovering,,ЭЛ 30 12 32,,,
,,NCG,,ковер из растений,объект отделки участка растительности,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,газон,"газон
ковровое растение
почвопокровные растения",IfcCovering,,ЭЛ 20 30 40,,,
,,NCH,,"объект, формирующий поверхность",объект отделки путем формирования внешней формы объекта,,,"обтекатель самолета, обшивка самолета, обтекатель днища, панель кузова автомобиля, обтекатель кабины, обтекатель мотоцикла, безнапорная пластина корпуса",,,,,,,
,ND,,,ограничивающий объект,"объект, осуществляющий покрытие путем ограничения другого объекта",ISO 81346-2:2019,Вид объекта для ограничения,,,,,,,,
,,NDA,,бордюр,"объект, ограничивающий кромку дорожного покрытия или растительного покрова",,,"кромка газона, кромка грядки
 Камни бортовые",бордюр,,,,,,
,,NDB,,торцевой элемент стены,"объект, ограничивающий кромку стены",,,"наклонная поверхность конструкции, верхняя часть стены",,,,,,,
,,NDC,,торцевой элемент пола,"объект, ограничивающий кромку пола",,,,,,,,,,
,,NDD,,торцевой элемент потолка,"объект, ограничивающий кромку потолка",,,,,,,,,,
,,NDE,,торцевой элемент кровли,"объект, ограничивающий кромку крыши",,,подзоры,,,,,,,
,NE,,,объект для сокрытия,"объект, осуществляющий покрытие, скрывающий стыки и переходы",ISO 81346-2:2019,Вид метода и назначения,,,,,,,,
,,NEA,,потолочный плинтус,"объект, скрывающий стык между стеной и потолком",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcCovering,,ЭЛ 30 19 25,,,
,,NEB,,напольный плинтус,"объект, скрывающий стык между стеной и полом",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,плинтус,плинтус,IfcCovering,,ЭЛ 30 19 25,,,
,,NEC,,уголок стеновой,"объект, скрывающий стык между двумя стенами",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcCovering,,ЭЛ 30 19 50,,,
,,NED,,гидроизолирующий фартук,"объект, скрывающий стык на крыше",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"карниз, гидроизолирующий фартук на коньке крыши, гидроизолирующий фартук на крыше",,,,ЭЛ 30 16 35,,,
,,NEE,,наличник,"объект, скрывающий края отверстия
-
Декоративная планка вокруг проема","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"наличник
нащельник",IfcCovering,,"ЭЛ 30 19 10
ЭЛ 30 19 15",,,
P_,,,,объект представления информации,объект для предоставления видимой информации,ISO 81346-2:2019,"Вид формы представления и вид
представляемой информации",,,,,,,,
,PF,,,индикатор визуального контроля,"объект, представляющий информацию в видимой форме дискретных состояний",ISO 81346-2:2019,Вид метода и назначения,,,,,,,,
,,PFA,,сигнальная лампа,"видимый индикатор состояния, обозначаемый при помощи света",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,светофор,маячок,IfcLamp,,ЭЛ 40 50 50 15,,,
,,PFB,,семафор,"видимый индикатор состояния, обозначаемый при помощи механического указателя",,,,,,,,,,
,PG,,,дисплей со скалярным значением,"объект, представляющий информацию в видимой форме одной скалярной переменной",ISO 81346-2:2019,Представляемое количество,,,,,,,,
,,PGA,,вольтметр,"дисплей со скалярным значением, представляющий электрическое напряжение
-
Инструмент, предназначенный для измерения значения напряжения",ГОСТ IEC 61010-2-033-2013,,,вольтметр,IfcElectricVoltageMeasure,,,,,
,,PGB,,индикатор удельного сопротивления,"дисплей со скалярным значением, представляющий удельное сопротивление или проводимость",,,,,,,,,,
,,PGC,,амперметр,"дисплей со скалярным значением, представляющий электрический ток
-
Прибор, предназначенный для измерения силы тока.",ГОСТ IEC 60050-300-2015,,,амперметр,,,,,,
,,PGD,,плотномер,"дисплей со скалярным значением, представляющий плотность
-
Прибор для непрерывного (или периодического) измерения плотности вещества в процессе производства или переработки, устанавливается непосредственно в технологических линиях или производственных агрегатах.",СТО 56947007-29.240.039-2010,,,плотномер,,,,,,
,,PGE,,индикатор поля,"дисплей со скалярным значением, представляющий поле",,,,,,,,,,
,,PGF,,расходомер,"дисплей со скалярным значением, представляющий поток",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,,,ЭЛ 40 55 20 19,,,
,,PGG,,измерительный индикатор,"дисплей со скалярным значением, представляющий пространственные измерения и/или положение",,,"индикатор угла, индикатор положения",,,,,,,
,,PGH,,счетчик электроэнергии,"дисплей со скалярным значением, представляющий энергию",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"счетчик реактивной энергии, счетчик электроэнергии",,,,"ЭЛ 40 50 20 60
ЭЛ 40 55 20 14",,,
,,PGJ,,ваттметр,"дисплей со скалярным значением, представляющий электроэнергию
-
Прибор, предназначенный для измерения активной мощности.",ГОСТ IEC 60050-300-2015,,,ваттметр,,,,,,
,,PGK,,часы,"дисплей со скалярным значением, представляющий время",,,,,,,,,,
,,PGL,,индикатор уровня,"дисплей со скалярным значением, представляющий уровень",,,смотровое стекло,,,,,,,
,,PGM,,индикатор влажности,"дисплей со скалярным значением, представляющий влажность",,,гигрометр,,,,,,,
,,PGP,,индикатор давления,"дисплей со скалярным значением, представляющий давление
-
Показывающий прибор, позволяющий визуально контролировать величину давления вытесняющего газа.","ГОСТ Р 51057-2001
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"барометр, манометр",манометр,,"30.20.40.154.62.7.01.04-1034
63.4.01",ЭЛ 40 55 20 13,,,
,,PGQ,,индикатор концентрации вещества,"дисплей со скалярным значением, представляющий концентрацию вещества",,,,,,,,,,
,,PGR,,индикатор электромагнитных волн,"дисплей со скалярным значением, представляющий излучение",,,,,,,,,,
,,PGS,,частотомер,"скалярный дисплей, представляющий интенсивность по времени",,,,,,,,,,
,,PGT,,индикатор температуры,"дисплей со скалярным значением, представляющий температуру",,,,,,,,,,
,,PGV,,фазометр,"дисплей со скалярным значением, представляющий смещение между активной и реактивной мощностью
-
Прибор, предназначенный для измерения сдвига по фазе между двумя переменными электрическими величинами на той же частоте, одна из которых принята за опорную фазу.",ГОСТ IEC 60050-300-2015,,,фазометр,,,,,,
,,PGW,,индикатор силы,"дисплей со скалярным значением, представляющий вес, усилие или крутящий момент",,,,динамометр,,,,,,
,,PGX,,аудиоспектрометр,"дисплей со скалярным значением, представляющий звук",,,,,,,,,,
,,PGZ,,измеритель количества,"дисплей со скалярным значением, представляющий количество событий",,,,,,,,,,
,PH,,,графический интерфейс,"объект, представляющий информацию в форме изображений, символов, текста или физических характеристик",ISO 81346-2:2019,Вид способов представления,,,,,,,,
,,PHA,,дисплей,"графический интерфейс, формирующий динамическое изображение на собственной поверхности",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"классная доска, магнитно-маркерная доска","зеркало
дорожное зеркало
дорожный светофор
табло",IfcAudioVisualAppliance,,ЭЛ 40 60 10 14,,,
,,PHB,,проектор,"графический интерфейс, формирующий динамическое изображение на иной поверхности
-
Оптико-механический прибор для проецирования на экран изображений с оригиналов: прозрачных, непрозрачных, а также тех и других",Большой Энциклопедический словарь. 2000,,,"кинопроектор диапроектор
эпипроектор
эпидиапроектор",IfcAudioVisualAppliance,,,,,
,,PHC,,принтер,"графический интерфейс, формирующий изображение на печатном носителе",,,,,IfcElectricAppliance,,,,,
,,PHD,,знак,"графический интерфейс, формирующий изображение на собственной поверхности
-
Материальный предмет (явление, действие, событие), который выступает в процессе коммуникации как представитель другого предмета, свойства или отношения и используется для передачи, переработки и хранения информации ",ГОСТ 7.0-99 СИБИД,,"дорожный знак
плакат","визуальное средство информации
дорожный знак
знак безопасности
знак информирования
знак пожарной безопасности
конструкция Г-образного типа
конструкция Т-образного типа",IfcFurniture,,,,,
,,PHE,,разметка,"графический интерфейс, формирующий изображение на поверхности иного объекта",,,,дорожная разметка,,,,,,
,,PHF,,объект разметки,"графический интерфейс, формирующий обозначение чего-либо ввиду собственных физических характеристик и размеров",,,ориентир,"геодезический знак
геодезический пункт
катафот
стенной репер
направляющее устройство
пикет трассы",,,"ТС 02 00
ТС 02 00 01
ТС 02 00 02
ТС 02 00 02 01
ТС 02 00 02 02
ТС 02 00 02 03
ТС 02 00 02 04
ТС 02 00 02 05
ТС 02 00 03
ТС 02 00 03 01
ТС 02 00 03 02
ТС 02 00 03 03
ТС 02 00 03 04
ТС 02 00 03 05
ТС 02 00 03 06
ТС 02 00 04
ТС 02 00 04 01
ТС 02 00 04 02
ТС 02 00 04 03
ТС 02 00 04 04
ТС 02 00 04 05
ТС 02 00 04 06
ТС 02 00 04 07
ТС 02 00 04 08
ТС 02 00 05
ТС 02 00 05 01
ТС 02 00 05 02
ТС 02 00 05 03
ТС 02 00 05 04
ТС 02 00 05 05
ТС 02 00 05 06
ТС 02 00 05 07
ТС 02 00 05 08
ТС 02 00 05 09
ТС 02 00 05 10
ТС 02 00 05 11
ТС 02 00 05 12
ТС 02 00 05 13
ТС 02 00 06
ТС 02 00 07
ТС 02 00 07 01
ТС 02 00 07 02
ТС 02 00 07 03
ТС 02 00 08
ТС 02 30",,,"Геодезические пункты
Геодезические пункты - точечные объекты
Астрономические пункты
Пункты государственной геодезической сети (ГГС)
Пункт ГГС на кургане
Пункт ГГС на скалах-останцах
Пункт ГГС на здании
Пункт ГГС на церкви
Пункт ГГС на естественных буграх
Точки съемочной сети (СС), закрепленные на местности центрами
Точка СС на курганах
Точка плановой СС
Точка плановой СС долговременного закрепления на местности
Точка плановой СС временного закрепления на местности
Точка плановой СС в стене здания
Точка плановой СС на углах капитальных зданий
Пункты геодезических сетей сгущения (ГСС)
Пункт ГСС на кургане
Пункт ГСС на буграх
Пункт ГСС на скалах-останцах
Пункт ГСС на здании (стенах зданий)
Пункт ГСС и точка СС (без разделения)
Пункт ГСС и точка СС (без разделения) на кургане
Пункт ГСС и точка СС (без разделения) на скалах-останцах
Пункт ГСС и точка СС (без разделения) на церкви
Реперы, марки ГНС, знаки нивелирные
Репер фундаментальный
Репер грунтовой
Репер грунтовой координированный
Репер грунтовой строительный долговременного закрепления
Репер скальный
Марка скальная
Репер стенный
Марка стенная
Репер временный
Репер
Марка
Репер ГНС
Знак нивелирный на кургане
Пункты ориентирные
Столбы граничные (знаки межевые)
Пункт закрепления
Геодезические пункты - надписи
Столб закрепления
Столб закрепления проекта планировки
Пункты закрепления разбивочной сетки для строительства"
,PJ,,,акустическое устройство,"объект, представляющий информацию в звуковой форме",ISO 81346-2:2019,Вид метода,,,,,,,,
,,PJA,,громкоговоритель,"акустическое устройство, работающее на основе перемещения мембраны
-
Устройство для преобразования электрических сигналов в акустические и их последующего излучения, состоящее из одной или нескольких головок громкоговорителя, акустического оформления и других дополнительных элементов и устройств.","ГОСТ 24214-80
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,маячок,IfcAudioVisualAppliance,,ЭЛ 40 55 10 30,,,
,,PJB,,горн,"акустическое устройство, работающее на основе потока воздуха",,,,,IfcAlarm,,,,,
,,PJC,,колокол,"акустическое устройство, работающее на основе механического возбуждения объекта",,,,,IfcAlarm,,,,,
,PK,,,тактильное устройство,"объект, представляющий информацию в тактильной форме",ISO 81346-2:2019,Вид метода,,,,,,,,
,,PKA,,вибрационное устройство,"тактильное устройство, представляющее информацию путем вибрации",,,,,,,,,,
,,PKB,,текст со шрифтом Брайля,"тактильное устройство, представляющее статическую информацию",,,,тактильное средство информации,,,,,,
,,PKC,,предупреждение о свободной высоте,тактильное устройство для преодоления препятствий на местности,,,,,,,,,,
,PL,,,декоративный объект,"объект, представляющий информацию в декоративной форме","ISO 81346-2:2019
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Вид применяемого метода,,декор,,,ЭЛ 30 29,,,
,,PLA,,карниз,"декоративный объект, выступающий в роли разделителя между двумя областями
-
Выступающая профильная архитектурная деталь антаблемента или стены.","ГОСТ 23342-2012
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,,,ЭЛ 30 16 35,,,
,,PLB,,статуя,"декоративный объект, выступающий в роли пространственного представления чего-либо",,,,,IfcFurniture,,,,,
,,PLC,,лепнина,декоративный объект в виде выступающих фигур и/или декоративных элементов на стене,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"пилястры, лепнина","капитель
панно",IfcFurniture,,"ЭЛ 30 16 25
ЭЛ 30 29 40",,,
,,PLD,,картина,"декоративный объект, представляющий, иллюстрирующий или воспроизводящий что-либо на поверхности",,,,,IfcFurniture,,,,,
,,PLE,,ковер,"декоративный объект, представляющий собой ткань, покрывающую другой объект",,,,,IfcFurniture,,,,,
,PZ,,,"объект, представляющий множество видов информации","объект, представляющий информацию в нескольких формах",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,
,,PZA,,аудиовизуальная сигнализация,"объект, представляющий информацию для отдельных состояний в нескольких формах",,,,,IfcAlarm,,,,,
,,PZB,,телевизор,"объект, представляющий множество видов информации в нескольких формах",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcElectricAppliance,,ЭЛ 40 50 30 35,,,
Q_,,,,объект управления доступом или потоком среды,объект для управления доступом или потоком,ISO 81346-2:2019,Вид потока объектов и вид метода,,,,,,,,
,QA,,,электрический объект управления,объект управления электрическим током в электрической цепи,ISO 81346-2:2019,Вид метода переключения,,,,,,,,
,,QAA,,контактор,"электрический объект управления, воздействующий механическим путем только в нормальных условиях эксплуатации
-
Механический выключатель, имеющий только одно положение покоя, не предназначенный для управления вручную, способный включать, пропускать и отключать ток в нормальных условиях цепи, в том числе в условиях работ.",ГОСТ IEC 60309-4-2017,,пусковое устройство двигателя,,"IfcElectricDistributionBoard, IfcSwitchingDevice",,,,,
