Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примеры,Примечания,Синонимы
,,,CAA060,Помещение для хранения запасных и вышедших из строя ртутных и люминесцентных ламп,Помещение для хранения запасных и вышедших из строя ртутных и люминесцентных ламп,СП 417.1325800.2020,,,,,,
,,,CAA070,Площадка для мусороконтейнеров и мусоросборников,Площадка для мусороконтейнеров и мусоросборников,СП 42.13330.2016,,,,,,
,,CAB,,Пространство для хранения химических веществ,"Пространство, предназначенное для хранения реактивов",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAB010,Помещение для хранения горючих материалов,,"СП 7.13130.2013
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 34 12 01
ПЗ 34 12 02",,"Кладовая горючих товаров
Кладовая товаров в горючей упаковке",,
,,,CAB020,"Помещение для хранения агрохимикатов, пестицидов и консервантов","Помещение для хранения агрохимикатов, пестицидов и консервантов",СП 92.13330.2012,,,,,,
,,,CAB030,Помещение для аммиачной селитры,Помещение для аммиачной селитры,СП 92.13330.2012,,,,,,
,,,CAB040,Помещение для хранения сухих минеральных удобрений и химических средств защиты растений,,СП 92.13330.2012,,,,,,
,,,CAB050,Отсек склада для хранения химикатов," Минимальная обособленная часть склада, отделенная стационарными перегородками и предназначенная для хранения 
определенных пестицидов, агрохимикатов, консервантов",СП 92.13330.2012,,,,,,
,,,CAB060,Полигон по обезвреживанию и захоронению токсичных отходов,"Совокупность помещений, зон или пространств, предназначенных для обезвреживания и захоронения токсичных отходов",СП 127.13330.2017,,,,,,
,,,CAB070,Помещение для хранения нефти и нефтепродуктов,,СП 155.13130.2014,,,,,,
,,,CAB080,Помещение для хранения каучука,,ГОСТ ISO 2230-2013,,,,,,
,,,CAB090,Помещение для хранения целлулоида,,ГОСТ 21228-85,,,,,,
,,,CAB100,Помещение для хранения горючих пластмасс и кинопленки,,,,,,,,
,,CAC,,Пространство для хранения медикаментов и оборудования,"Пространство, предназначенное для хранения лекарственных препаратов",Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 33 18 06,,Препараторская,Определение синтезировано,
,,,CAC001,"Помещение для хранения стерильного, шовного материалов, растворов",,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 31 14
ПЗ 33 31 06",,"Помещение для хранения инструментов, стерильного, шовного материалов, растворов
Помещения хранения расходного материала и медикаментов",,
,,,CAC002,Кладовая наркозно-дыхательной аппаратуры для стационарных отделений,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 31 16,,Кладовая наркозно-дыхательной аппаратуры,,
,,,CAC003,Помещение для хранения и подготовки крови и кровезаменителей к переливанию,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 19
ПЗ 33 19 01",,"Помещения переливания крови
Помещение хранения и подготовки крови и кровезаменителей к переливанию",,
,,,CAC004,Склад солей,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 14 04,,Склад солей,,
,,,CAC005,Кладовая растворов,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 14 05
ПЗ 33 18 12",,"Кладовая консервирующих растворов, ядов и летучих веществ
Кладовая растворов",,
,,,CAC010,Помещение аптечного склада,Помещение аптечного склада,,,,,"Больничная аптека
Ветеринарная аптека",Определение синтезировано,
,,,CAC020,Кладовая лекарственных форм и медицинского оборудования,Помещения и (или) зоны для лекарственных форм и медицинского оборудования,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 33 31 03,,Помещение хранения вакцин и медикаментов,Определение синтезировано,
,,,CAC030,Депозит крови,Депозит крови,,,,,,Определение синтезировано,
C,CA,,CAC040,Помещение хранения наркотических средств и психотропных веществ,Помещение хранения наркотических средств и психотропных веществ,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 33 31 07,,Помещение хранения наркотических средств и психотропных веществ,Определение синтезировано,
,,CAD,,Пространство для хранения архивов,"Пространство, предназначенное для рационального размещения и обеспечение сохранности документов",ГОСТ Р 7.0.8-2013,,,,,Определение синтезировано,
,,,CAD010,Книгохранилище,Изолированное помещение библиотеки для хранения и технической обработки библиотечных фондов,Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,,
,,,CAD020,Помещение архива,Помещение архива,"СП 417.1325800.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 06 23
ПЗ 31 06 37
ПЗ 31 06 38",,"Архив деканата
Архив штаба
Архив ОУР
Архив дознания",,
,,,CAD030,Помещение секретного архива и библиотеки ,Помещение секретного архива и библиотеки ,СП 228.1325800.2014,,,,,,
,,,CAD040,Технический архив,Помещение хранения технической документации,СП 278.1325800.2016,,,,,,
,,,CAD050,Архив медицинский,"Помещение в лечебных учреждениях, предназначенное для учета, хранения медицинской и общей документации и использования ее в практической и научной работе, обеспечивающее ее сохранность до момента передачи в государственные архивы","СП 145.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 33 31 01
ПЗ 33 18 19",,"Медицинский архив
Архив гистологического материала",,
,,,CAD051,Архив влажного аутопсийного и биопсийного материала,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 18 09,,Архив влажного биопсийного и аутопсийного материала,,
,,,CAD052,Архив микропрепаратов и блоков биопсий,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 18 10,,Архив микропрепаратов и блоков биопсий,,
,,,CAD060,Помещение для хранения библиотечного фонда,Помещение для хранения библиотечного фонда ,СП 247.1325800.2016,,,,,,
,,,CAD070,Хранилище аудио- и видеоинформации,"Пространство или часть  обособленных помещений здания, предназначенных для хранения аудио- и видеоинформации",,,,,,Определение синтезировано,
,,CAE,,Пространство для хранения жидкостей,"Пространство, предназначенное для хранения воды и неагрессивных жидкостей",IEC 81346-2:2019,,,,,Определение синтезировано,
,,CAF,,Пространство для хранения сырья,"Пространство, предназначенное для хранения твердых веществ, используемых в качестве сырья",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAF010,Хранилище грунта,Открытое или закрытое пространство для хранения грунта,ГОСТ 12071-2014,,,,,,
,,,CAF020,Хранилище соли,Открытое или закрытое пространство для хранения соли,СП 123.13330.2012,,,,,,
,,,CAF030,Склад сырья и готовой продукции,Открытое или закрытое пространство для хранения сырья и готовой продукции,СП 149.13330.2012,,,,,,
,,,CAF040,Зона хранения и подготовки сырья (кормов),Зона хранения и подготовки сырья (кормов),СП 19.13330.2019,,,,,,
,,,CAF050,Площадка для подготовки компостов,Площадка для подготовки компостов,СП 289.1325800.2017,,,,,,
,,CAG,,Пространство для хранения продуктов питания,"Пространство с определенными температурными параметрами, предназначенное для хранения пищевой продукции",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAG010,Кладовая продуктов,Обособленное помещение для хранения продуктов питания в жилом или общественном здании без постоянного пребывания людей,"СП 60.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 15 07
ПЗ 31 15 08",,"Кладовая сухих продуктов
Кладовая скоропортящихся продуктов",Определение синтезировано,
,,,CAG020,Холодная кладовая,"Кладовая площадью до 2 м, размещаемая в неотапливаемом объеме квартиры","ВСП 13-02-04
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 30 30  01,,Холодная кладовая,,
,,,CAG030,Холодильная камера,"Пространство специально оборудованного здания или его обособленной части помещений, предназначенных для искусственного охлаждения продуктов","ГОСТ 24393-80
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 15 10,,Помещение с холодильным оборудованием,,
,,,CAG040,Помещение горячего хранения,Помещение горячего хранения,IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAG050,Хранилище сыпучих продуктов,"Пространство специально оборудованного здания или его обособленной части помещений, предназначенных для хранения сыпучих продуктов",СП 359.1325800.2017,,,,,,
,,,CAG060,Зерносклад,"Пространство специально оборудованного здания или его обособленной части помещений, предназначенных для хранения зерн",СП 108.13330.2012,,,,,Определение синтезировано,
,,,CAG070,Овощехранилище,"Пространство специально оборудованного здания или его обособленной части помещений, предназначенных для хранения овощей","СП 308.1325800.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 15 06,,Кладовая овощей,Определение синтезировано,
,,,CAG080,"Охлаждаемые камеры для хранения мяса, рыбы","Герметизированное складское помещение с тамбуром, оборудованное холодильными установками для кратковременного хранения скоропортящихся продуктов","Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 15 01,,Блок охлаждаемых камер,,
,,,CAG090,"Охлаждаемые камеры для хранения молочных продуктов, фруктов и зелени, консервов и квашений","Герметизированное складское помещение с тамбуром, оборудованное холодильными установками для кратковременного хранения скоропортящихся продуктов","Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 15 01,,Блок охлаждаемых камер,,
,,,CAG100,Продовольственный склад,"Пространство специально оборудованного здания или его обособленной части помещений, предназначенных для хранения продовольствия",СП 308.1325800.2017,,,,,Определение синтезировано,
,,CAH,,Пространство для безопасного хранения,"Пространство, обладающее регламентированными защитными свойствами взломостойкости и/или огнестойкости, предназначенное для безопасного хранения ценностей",ГОСТ Р 58005-2017,,,,,Определение синтезировано,
,,,CAH010,Помещение для хранения ценностей,Помещение для хранения ценностей,ВНП 001-01,,,,,,
,,,CAH020,Зона установки сейфа,Зона установки сейфа,ВНП 001-01,,,,,,
,,,CAH030,Кладовая ценностей,Кладовая ценностей,ВНП 001-01,,,,"Для постоянного хранения, для временного хранения",,
,,,CAH040,Помещение для экспертизы денежных знаков,Помещение для экспертизы денежных знаков,ВНП 001-01,,,,,,
,,,CAH050,Помещение кассы для выдачи наличных денег,Помещение кассы для выдачи наличных денег,"ВНП 001-01
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 10 03,,Кассовый пункт,,
,,,CAH060,Помещение для передачи ценностей,Помещение для передачи ценностей,ВНП 001-01,,,,,,
,,,CAH070,Помещение касс пересчета банкнот и металлической монеты,Помещение касс пересчета банкнот и металлической монеты,ВНП 001-01,,,,,,
,,,CAH080,Зона хранения личных вещей занимающихся,Зона хранения личных вещей занимающихся,СП 383.1325800.2018,,,,,,
,,,CAH090,Камера хранения вещественных доказательств,Помещение для хранения вещественных доказательств,СП 228.1325800.2014,,,,,,
,,,CAH100,Предкладовая,Предкладовая,ВНП 001-01,,,,,,
,,,CAH110,Пространство витрины,Пространство витрины,ВНП 001-01,,,,,,
,,,CAH120,Защищенное пространство,"Пространство, в которое не допускаются посторонние люди или предметы",ГОСТ Р ИСО 6707-1-2020,,,,,,
,,CAJ,,Пространство для хранения упаковочных материалов,"Пространство, использующееся для хранения упаковочных материалов",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAJ010,Помещение для хранения упаковочных материалов,Кладовая упаковочных материалов,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 15 11,,Кладовая тары,,
,,CAK,,Пространство для хранения одежды,"Пространство, предназначенное для хранения одежды",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAK010,Гардероб,Помещение для хранения одежды и переодевания,"СП 136.13330.2012
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 18
ПЗ 30 20 04
ПЗ 31 08 03
ПЗ 31 12 01
ПЗ 31 12 02
ПЗ 31 12 03",,"Гардероб персонала
Гардеробная уличной одежды персонала
Гардеробная рабочей одежды персонала",,
,,,CAK030,Пространство встроенного шкафа,"Шкаф, полностью или частично не имеющий несущего корпуса, в котором роль его верхней и нижней, задней и боковых стенок выполняют соответственно пол, потолок и стены помещения, являющиеся неотъемлемыми частями конструкции","СП 139.13330.2012
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 30 20  03,,"Зона бельевого шкафа, зона шкафа-купе
Встроенный шкаф",,
,,,CAK040,Костюмерная,"Помещение для подготовки (мелкий ремонт, глажка) костюмов к выступлению артистов","СП 309.1325800.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 03 03,,Костюмерная,,
,,,CAK050,Кладовая чистого белья,,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 16 02
ПЗ 33 31 05
ПЗ 30 20 01",,"Помещение для хранения чистого белья и постельных принадлежностей 
Бельевая",,
,,,CAK060,Помещение временного хранения грязного белья,,"СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 16 03
ПЗ 31 16 04",,Помещение приема и сортировки грязного белья,,
,,,CAK070,Помещения для хранения мехов и меховых изделий,,ГОСТ 19878-2014,,,,,,
,,,CAK080,"Склад постоянного хранения личных вещей подозреваемых, обвиняемых и осуждённых","Пространство специально оборудованного здания или его обособленной части помещений, предназначенных для постоянного хранения личных вещей подозреваемых, обвиняемых и осуждённых",СП 247.1325800.2016,,,,,,
C,CA,,CAK090,Кладовая для хранения вещей умерших,,"СП 2.1.3678-20
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 18 02,,Кладовая хранения вещей умерших,,
C,CA,,CAK100,Кладовая вещей пациентов,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 33 31 08,,Кладовая вещей пациентов,,
,,CAL,,Пространство для хранения строительных материалов,"Пространство, предназначенное для складирования и хранения строительных материалов",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAL010,Склад строительных материалов,"Помещения, зоны и пространства зданий и сооружений или их совокупность, предназначенные для складирования, размещения и хранения строительных материалов, изделий, конструкций",СТО НОСТРОЙ 2.33.51-2011,,,,,,
,,,CAL020,Склад пиломатериалов,"Помещения, зоны и пространства зданий и сооружений или их совокупность, предназначенные для складирования, размещения и хранения пиломатериалов",СТО НОСТРОЙ 2.33.51-2011,,,,,,
,,,CAL030,Склад лесоматериалов,"Помещения, зоны и пространства зданий и сооружений или их совокупность, предназначенные для складирования, размещения и хранения лесоматериалов",СТО НОСТРОЙ 2.33.51-2011,,,,,,
,,,CAL040,Склад труб,"Помещения, зоны и пространства зданий и сооружений или их совокупность, предназначенные для складирования, размещения и хранения труб",СТО НОСТРОЙ 2.33.51-2011,,,,,,
,,,CAL050,Кладовая ремонтно-строительных материалов,Помещение для хранения ремонтно-строительных материалов,СТО НОСТРОЙ 2.33.51-2011,,,,,,
,,,CAL060,Помещение для хранения цемента,,ГОСТ 30515-2013,,,,,,
,,CAM,,Пространство для хранения взрывчатых веществ,"Пространство, предназначенное для складирования и хранения взрывчатых веществ",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CAM010,Склад боеприпасов,"Помещения, зоны и пространства зданий и сооружений или их совокупность, предназначенные для складирования, размещения и хранения боеприпасов",ВСН 21-01-98/ МО РФ,,,,,,
,,,CAM020,Бункер для боеприпасов,"Закрытое пространство для хранения, транспортировки и загрузки боеприпасов",Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,Определение синтезировано,
,,,CAM030,Комната хранения боеприпасов,"Отдельная комната (помещение) в подразделениях для хранения, приема и выдачи боеприпасов"," Приказ МВД России от 12.01.2009 г. N 13
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 05 02,,"Оружейная комната
Комната выдачи боеприпасов",,
,,,CAM040,Комната хранения оружия,"Отдельная комната (помещение) в подразделениях для хранения, приема и выдачи огнестрельного оружия","Приказ МВД России от 12.01.2009 г. N 13
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 05 01,,"Оружейная комната
Комната хранения оружия",,
C,CA,,CAM050,Комната чистки оружия,"Отдельная комната (помещение) в подразделениях для хранения, приема и выдачи огнестрельного оружия","Приказ Минсельхоза России от 25.02.2013 N 119 ""Об утверждении Инструкции о порядке учета, хранения, выдачи, использования и транспортировки боевого ручного стрелкового оружия, а также охотничьего огнестрельного оружия, используемого в качестве служебного, и специальных средств""
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 05 03,,"Комната чистки оружия
Помещение для чистки оружия",,
,,CAN,,Зона хранения,"Выделенное физическое пространство, специализирующееся на хранении материалов или оборудования",ГОСТ Р МЭК 62264-1-2014,,,,,,
,,,CAN010,Склад грузов,"Помещения, зоны и пространства зданий и сооружений или их совокупность, предназначенные для складирования, размещения и хранения грузов","СНиП IV-13-82
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 15 17
ПЗ 34 12 03",BGA.03,"Расходный склад
Прирельсовый склад
Склад возвратной тары
Расходный склад",Определение синтезировано,
,,,CAN020,Склад багажа,"Помещение, предназначенное для хранения багажа",СП 417.1325800.2020,,,BA,,,
,,,CAN030,Камера хранения багажа,"Специальное помещение, предназначенное для хранения багажа","СП 417.1325800.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 07 07,BA,"Зона багажных помещений
Камера хранения",,
,,,CAN040,Комната забытых вещей,Комната забытых вещей,СП 417.1325800.2020,,,BA,Бюро находок,Определение синтезировано,
,,,CAN050,Помещение для хранения вещей,Помещение для хранения вещей,СП 332.1325800.2017,,ПЗ 30 20 16,,Отапливаемая кладовая,Определение синтезировано,
,,,CAN060,Площадка для хозяйственных целей,Площадка для хозяйственных целей,СНиП IV-15-83,,,,"Площадка для сушки белья
Площадка для чистки ковров",Определение синтезировано,
,CB,,,Пространство для хранения оборудования,"Пространство, предназначенное для складирования и хранения оборудования",IEC 81346-2:2019,По функциональному назначению,,,,Определение синтезировано,
,,CBA,,Пространство для хранения мебели,"Пространство, использующееся для хранения мебели",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CBA010,Склад для хранения мебели,"Пространство или обособленная часть помещений здания, предназначенных для хранения мебели",СП 460.1325800.2019,,,,Кладовая для мебели,,
,,,CBA020,Пространство за сценой,"Обособленное пространство здания или помещение, предназначенное для хранения декораций",СП 309.1325800.2017,,,,,Определение синтезировано,
,,,CBA030,Склад декораций,Склад декораций,СП 309.1325800.2017,,,,"Дежурный склад декораций
Склад драпировок 
Склад объемных декораций",Определение синтезировано,
,,,CBA040,Хозяйственно-складская зона,Хозяйственно-складская зона,СП 247.1325800.2016,,,,,Определение синтезировано,
,,CBB,,Пространство для хранения инструментов,"Пространство, предназначенное для хранения инструментов ",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CBB010,Хозяйственная кладовая (внеквартирная),"Помещение, предназначенное для хранения предметов быта, располагаемые вне квартиры в первом, цокольном или подвальном этаже жилого здания","СП 54.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 10 04,,Кладовая,,
,,,CBB020,Инвентарная,"Обособленное пространство здания или помещение, предназначенное для хранения инвентаря","СП 54.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 10 01
ПЗ 31 10 02 
ПЗ 31 10 05
ПЗ 31 10 06
ПЗ 31 13 07
ПЗ 33 18 13",,"Инвентарная при спортзале
Инвентарная кладовая
Снарядная",Определение синтезировано,
,,,CBB030,Помещение уборочного инвентаря,Помещение уборочного инвентаря,"СП 145.13330.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 10 15,,"Помещение для хранения уборочных машин, оборудования и инвентаря
Помещение уборочной техники (инвентаря)",Определение синтезировано,
,,CBC,,Пространство для хранения приборов,"Пространство, предназначенное для хранения приборов",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CBC010,Хранилище оборудования,"Пространство или обособленная часть помещений здания, предназначенных для хранения оборудования",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CBC020,Хранилище медицинского оборудования,"Пространство или обособленная часть помещений здания, предназначенных для хранения медицинского оборудования",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CBC030,Хранилище аппаратуры для самолетов,"Пространство или обособленная часть помещений здания, предназначенных для хранения аппаратуры для самолетов",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CBC040,Зона (помещение) для хранения оборудования фотографов,Зона (помещение) для хранения оборудования фотографов,СП 332.1325800.2017,,,,,Определение синтезировано,
,,,CBC050,Инструментальная,Помещение для хранения и выдачи инструмента,СП 251.1325800.2016,,,,,Определение синтезировано,
,,CBD,,Пространство для хранения транспортных средств,"Пространство, предназначенное для хранения транспортных средств",IEC 81346-2:2019,,НД 06,,,Определение синтезировано,Назначение гаражных помещений и зон
,,,CBD010,Велопарковка,"Площадка, оборудованная специальными конструкциями, предназначенная для длительной стоянки (более часа) или хранения велосипедов",ГОСТ 33150-2014,,,,"Помещение для хранения велосипедов
Стоянка для хранения велосипедов
Велосипедный навес",,
,,,CBD020,Зона размещения кресел-колясок,Зона размещения кресел-колясок,"СП 383.1325800.2018
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 07 06,,"Отапливаемые стоянки для кресел-колясок
Колясочная",Определение синтезировано,
,,,CBD030,Место для зарядки электромобилей,"Площадка, оборудованная специальными конструкциями и оборудованием, предназначенная для  зарядки электромобилей",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,CBD040,Помещение гаража,"Помещение для стоянки, хранения, ремонта и технического обслуживания автомобилей, мотоциклов и других транспортных средств","СП 113.13330.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31 07 18,,Гараж,,
,,,CBD050,Бокс гаражный,"Часть помещения, предназначенная для хранения не более двух автомобилей, ограниченная ограждающими конструкциями или сетчатым ограждением и оборудованная воротам","Методическое пособие. Термины и определения в нормативных технических документах по проектированию жилых, общественных и производственных зданий",,,,Бокс для транспортных средств резервных групп ,,
,,,CBD060,Помещение ангара,"Помещение для хранения, технического обслуживания и ремонта самолетов и вертолетов",Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,,
,,,CBD070,Зал железнодорожного депо,"Помещение, обеспечивающее техническое обслуживание и ремонт железнодорожного подвижного состава",ГОСТ 34530-2019   ,,,BH,,Определение синтезировано,
,CC,,,Пространство для животных,"Пространство, предназначенное для размещения в нем одного или нескольких животных",IEC 81346-2:2019,По функциональному назначению,,,,Определение синтезировано,
,,CCA,,Клетка,"Пространство в помещении для содержания различных животных в неволе, искусственно ограниченное со всех сторон",СТО НОСТРОЙ 2.23.138-2013,,НД 08 20 15,,,Определение синтезировано,Зоопарк
,,,CCA010,Птичья клетка,"Пространство для содержания птицы, представляющее собой ограниченное со всех сторон пространство",СТО НОСТРОЙ 2.23.138-2013,,,,,,
,,,CCA020,Пространство авиария,Пространство авиария - большого вольера для птиц,,,,,,,
,,,CCA030,Виварий,"Помещение для содержания или разведения лабораторных животных, используемых в учебной или экспериментальной работе",Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,,
,,,CCA050,Террариум,"Специальное помещение или емкость для содержания мелких животных, преимущественно пресмыкающихся и земноводных",Правила техники безопасности и производственной санитарии для зоопарков (зоосадов) СССР,,,,,Определение синтезировано,
,,CCB,,Огороженное пространство для животных,"Уличное пространство, огороженное со всех сторон и предназначенное для размещения в нем одного или нескольких животных",,,,,,Определение синтезировано,
,,,CCB010,Вольер,"Площадка, огороженная металлической сеткой, иногда оборудованная бассейном, домиком или навесом, предназначенная для содержания зверей или птиц",Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,"Загон для птицы
Загон для животных
Вольер для служебных собак
Зона для содержания служебных собак",,
,,,CCB020,Племенной питомник,"Территория, предназначенная для воспроизводства поголовья служебных собак, сохранения и совершенствования их экстерьерных и рабочих качеств, а также для увеличения поголовья для удовлетворения потребностей кинологических подразделений уголовно-исполнительной системы.",СП 308.1325800.2017,,,,Зона промстада ,,
,,,CCB030,Выгульная площадка,"Огороженная площадка, располагающаяся вдоль продольной стороны животноводческого здания, с твердым или грунтовым покрытием для моциона животных в разные периоды года",СП 374.1325800.2018,,,,,,
,,,CCB040,Паддок,"Небольшая огороженная площадь, используемая для свободной прогулки лошадей",СП 397.1325800.2018,,,,,,
,,,CCB050,Выгульно-кормовой двор,Огороженная площадка для прогулки и кормления животных вне здания при беспривязном содержании скота в зданиях на глубокой подстилке,СП 374.1325800.2018,,,,"Зона размещения животных
Зона родительского стада 
Зона содержания птицы ",,
,,CCC,,Животноводческое помещение,Помещение для содержания сельскохозяйственных животных,,,,,,,
,,,CCC010,Помещение для скота,Помещение для скота,СП 374.1325800.2018,,,,"Коровник
Конюшня
Свинарник
Овчарня",,
,,,CCC020,Помещение для служебных собак,Помещение для служебных собак,СП 247.1325800.2016,,,,,,
,,,CCC030,Денник,Закрытое помещение в конюшне для индивидуального содержания лошадей без привязи (постоянно или временно).,СП 397.1325800.2018,,,,,,
,,,CCC040,Солярий для лошадей,"Помещение, оборудованное специальными лампами, для обогрева и сушки лошадей",СП 397.1325800.2018,,,,,,
,,,CCC050,Стойло,Огороженное место внутри помещения для содержания на привязи одной головы крупного рогатого скота,СТО НОСТРОЙ 2.23.137-2013,,,,,,
,,,CCC060,Помещение для ягнения,Помещение для ягнения,СП 374.1325800.2018,,,,,Определение синтезировано,
,,,CCC070,Тепляк,Помещение для проведения зимнего окота овец,СП 106.13330.2012,,,,,,
,,,CCC080,Инкубаторий,"Специальное помещение, в котором установлены инкубаторы",СП 374.1325800.2018,,,,,,
