Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,Примеры компонентов ISO 81346-2:2019,Примеры компонентов (НТД РФ)(НТД РФ),IFC-entity,КСР,МССК,ПСК,Примечание
,MB,,,объект электромагнитного линейного движения,"объект, обеспечивающий движение в виде линейного усилия, приводимого в движение электромагнитной силой",ISO 81346-2:2019,Вид метода,,,,,,,
,,MBA,,линейный двигатель,"объект электромагнитного линейного движения, обеспечивающий непрерывное движение",,,,,IfcElectricMotor,,,,
,,MBB,,электромагнит,"объект электромагнитного линейного движения, обеспечивающий отдельные шаги",,,"привод, соленоид",,,,,,
,MC,,,"движущий объект, приводимый в действие магнитной силой","движущий объект, приводимый в действие магнитной силой",ISO 81346-2:2019,Вид метода,,,,,,,
,,MCA,,машина с постоянными магнитами,"движущий объект, приводимый в действие магнитной силой при помощи постоянного магнита
-
Машина, в которой система возбуждения состоит из одного или более постоянных магнитов.",,,,,,,,,
,MD,,,"движущий объект, приводимый в действие пьезоэлектрической силой","движущий объект, приводимый в действие пьезоэлектрической силой",ISO 81346-2:2019,Вид метода,,,,,,,
,,MDA,,пьезоэлектрический двигатель,"движущий объект, приводимый в действие пьезоэлектрической силой при помощи пьезоэлектрического кристалла",,,пьезоэлектрический привод,,,,,,
,ML,,,"движущий объект, приводимый в действие механической энергией","движущий объект, приводимый в действие механической энергией",ISO 81346-2:2019,Вид механического источника,,,,,,,
,,MLA,,гравитационно-энергетическая установка,"движущий объект, приводимый в действие механической энергией путем высвобождения гравитационной энергии",,,американские горки,,,,,,
,,MLB,,привод на основе упругой энергии,"движущий объект, приводимый в действие механической энергией путем высвобождения упругой энергии",,,устройство пружинного привода,,,,,,
,,MLC,,ветряная турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии движущегося воздуха",,,,,,,,,
,,MLD,,водяная турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии текущей воды",,,,,,,,,
,,MLE,,газовая турбина,"движущий объект, приводимый в действие механической энергией в виде кинетической энергии и реактивной силы потока газов и/или расширяющихся газов
-
Компонент газотурбинного двигателя, преобразующий потенциальную энергию нагретого рабочего тела под давлением в механическую работу ",ГОСТ Р 51852-2001,,,,,,,,
,MM,,,"движущий объект, приводимый в действие жидкостью","движущий объект, приводимый в действие перемещением или давлением жидкости",ISO 81346-2:2019,Вид источника жидкости,,,,,,,
,,MMA,,гидроцилиндр,"движущий объект, приводимый в действие жидкостью, обеспечивающий движение, соответствующее объему жидкости
-
Объемный гидродвигатель (объемный пневмодвигатель) с возвратно-поступательным движением выходного звена ",ГОСТ 17752-81,,,,,,,,
,,MMB,,пневмоцилиндр,"движущий объект, приводимый в действие жидкостью, обеспечивающий перемещение в конечные положения в зависимости от давления газа",,,,,,,,,
,,MMC,,двигатель гидравлический,"движущий объект, приводимый в действие жидкостью, обеспечивающий вращение потоком жидкости",,,,,,,,,
,,MMD,,двигатель пневматический,"движущий объект, приводимый в действие жидкостью, обеспечивающий вращение газом под давлением",,,,,,,,,
,MS,,,двигатель внутреннего сгорания,"движущий объект, приводимый в действие сгоранием топлива",ISO 81346-2:2019,Вид двигателя,,,IfcEngine,,,,
,,MSA,,двигатель внутреннего сгорания,"двигатель внутреннего сгорания в цилиндрах с поршнями, приводимыми в действие искровым зажиганием
-
Тепловой двигатель, в котором химическая энергия топлива, сгорающего в рабочей полости, преобразуется в механическую работу.",ГОСТ 33670-2015,,,,IfcEngine,,,,
,,MSB,,дизельный двигатель,"двигатель внутреннего сгорания в цилиндрах с поршнями, приводимыми в действие зажиганием от сжатия
-
Поршневой двигатель внутреннего сгорания с внутренним смесеобразованием, сжатием воздуха, впрыском топлива и его самовоспламенением, работающий на дизельном топливе.",ГОСТ Р 58787-2019  ,,,,IfcEngine,,,,
,,MSC,,роторно-поршневой двигатель,"двигатель внутреннего сгорания в кольцевом отсеке с эксцентриковым вращающимся поршнем, работающим от искрового зажигания",,,,,IfcEngine,,,,
,MT,,,тепловой двигатель,"движущий объект, приводимый в действие внешним источником тепла",ISO 81346-2:2019,Вид двигателя,,,,,,,
,,MTA,,паровая машина,"тепловой двигатель, использующий расширяющийся пар, действующий на один поршень",,,,,,,,,
,,MTB,,двигатель Стирлинга,"тепловой двигатель, использующий два поршня в одном нагретом и одном охлажденном цилиндре или цилиндрической части",,,,,,,,,
N_,,,,"объект, осуществляющий закрытие (покрытие)","объект, частично или полностью закрывающий другой объект",ISO 81346-2:2019,Вид метода,,,,,,,
,NA,,,заполняющий объект,"объект, осуществляющий покрытие при помощи заполнения проемов",ISO 81346-2:2019,Вид назначения заполнения,,,,,,,
,,NAA,,светопрозрачное заполнение,"заполняющий объект, не препятствующий проникновению света",,,,,,,,,
,,NAB,,панель,"заполняющий объект, препятствующий проникновению света и твердых объектов",,,,,IfcWall,,,,
,,NAC,,решетка,"заполняющий объект, не препятствующий проникновению жидкости",,,,,"IfcAirTerminal, IfcCovering",,,,
,,NAD,,герметичное соединение,"заполняющий объект, препятствующий проникновению жидкости
-
Обеспечение непроницаемости узла сопряжения между водонепроницаемыми конструкциями или элементами сооружения.",СП 250.1325800.2016,,"прокладка, сальник, раствор",изолирующий шов,,,,,
,NB,,,закрывающий объект,"объект, осуществляющий покрытие при помощи закрытия проемов (отверстий)",ISO 81346-2:2019,Вид объекта для закрытия,,,,,,,
,,NBA,,дверное полотно,"закрывающий объект в двери
-
Сборочная единица дверного блока, соединенная с коробкой посредством подвижных связей (петель).",ГОСТ 475-2016,,,,,,,,
,,NBB,,воротное полотно,закрывающий объект в воротах,,,,,,,,,
,,NBC,,дверца,закрывающий объект для ограниченного (огражденного) пространства,,,"дверца щита, дверь шкафа, смотровой люк, лючок бензобака","дверца топки
",IfcDoor,,,,
,,NBD,,двери гейта,закрывающий объект в гейте,,,,,IfcDoor,,,,
,,NBE,,крышка люка,"закрывающий объект в люке
-
Крышка доступа к люку.",ГОСТ Р ИСО 6707-1-2020,,"лицевая панель, крышка корпуса","ревизионный люк
форточка",IfcDoor,,,,
,NC,,,объект отделки,"объект, осуществляющий покрытие при помощи специализированных конструкций и отделочных материалов",ISO 81346-2:2019,Вид объекта для защиты,,,,,,,
,,NCA,,дорожное покрытие,объект отделки дорожного покрытия,,,,покрытие дорожной одежды,"IfcBuildingElementProxy, IfcSlab",,,,
,,NCB,,отделочное покрытие стены,"объект отделки стены
-
Материал  для завершающего этапа работ по покрытию и обработке стены",ГОСТ Р ИСО 6707-1-2020,,,"облицовка
отделка внешних поверхностей наружных стен",IfcCovering,,,,
,,NCC,,напольное покрытие,"объект отделки пола
-
Предварительно изготовленный продукт в виде рулонов и плиток, который может быть использован в качестве финишного покрытия пола в помещении, воспринимающего эксплуатационные воздействия.",ГОСТ Р 58211-2018,,,"облицовка
покрытие",IfcCovering,,,,
,,NCD,,потолочное покрытие,"объект отделки потолка
-
Строительная конструкция, скрывающая нижнюю плоскость перекрытия или крыши с конструктивными элементами или инженерными сетями и обеспечивающая верхнюю плоскость замкнутого пространства ",ГОСТ Р ИСО 6707-1-2020,,,облицовка,IfcCovering,,,,
,,NCE,,кровельное покрытие,объект отделки крыши,,,,защитный слой,IfcCovering,,,,
,,NCF,,подоконник,"объект отделки проема
-
Деталь нижней части внутреннего обрамления оконного проема: доска, профиль или плита, укладываемые на уровне нижнего бруса оконной коробки и выполненные из дерева, ПВХ, камня, металла, железобетона. ",ГОСТ 30971-2012,,внутренний подоконник,подоконник,IfcCovering,,,,
,,NCG,,ковер из растений,объект отделки участка растительности,,,газон,"газон
ковровое растение
почвопокровные растения",IfcCovering,,,,
,,NCH,,"объект, формирующий поверхность",объект отделки путем формирования внешней формы объекта,,,"обтекатель самолета, обшивка самолета, обтекатель днища, панель кузова автомобиля, обтекатель кабины, обтекатель мотоцикла, безнапорная пластина корпуса",,,,,,
,ND,,,ограничивающий объект,"объект, осуществляющий покрытие путем ограничения другого объекта",ISO 81346-2:2019,Вид объекта для ограничения,,,,,,,
,,NDA,,бордюр,"объект, ограничивающий кромку дорожного покрытия или растительного покрова",,,"кромка газона, кромка грядки",бордюр,,,,,
,,NDB,,торцевой элемент стены,"объект, ограничивающий кромку стены",,,"наклонная поверхность конструкции, верхняя часть стены",,,,,,
,,NDC,,торцевой элемент пола,"объект, ограничивающий кромку пола",,,,,,,,,
,,NDD,,торцевой элемент потолка,"объект, ограничивающий кромку потолка",,,,,,,,,
,,NDE,,торцевой элемент кровли,"объект, ограничивающий кромку крыши",,,подзоры,,,,,,
,NE,,,объект для сокрытия,"объект, осуществляющий покрытие, скрывающий стыки и переходы",ISO 81346-2:2019,Вид метода и назначения,,,,,,,
,,NEA,,потолочный плинтус,"объект, скрывающий стык между стеной и потолком",,,,,IfcCovering,,,,
,,NEB,,напольный плинтус,"объект, скрывающий стык между стеной и полом",,,плинтус,плинтус,IfcCovering,,,,
,,NEC,,уголок стеновой,"объект, скрывающий стык между двумя стенами",,,,,IfcCovering,,,,
,,NED,,гидроизолирующий фартук,"объект, скрывающий стык на крыше",,,"карниз, гидроизолирующий фартук на коньке крыши, гидроизолирующий фартук на крыше",,,,,,
,,NEE,,наличник,"объект, скрывающий края отверстия
-
Декоративная планка вокруг проема",ГОСТ Р ИСО 6707-1-2020,,,"наличник
нащельник",IfcCovering,,,,
P_,,,,объект представления информации,объект для предоставления видимой информации,ISO 81346-2:2019,"Вид формы представления и вид
представляемой информации",,,,,,,
,PF,,,индикатор визуального контроля,"объект, представляющий информацию в видимой форме дискретных состояний",ISO 81346-2:2019,Вид метода и назначения,,,,,,,
,,PFA,,сигнальная лампа,"видимый индикатор состояния, обозначаемый при помощи света",,,светофор,маячок,IfcLamp,,,,
,,PFB,,семафор,"видимый индикатор состояния, обозначаемый при помощи механического указателя",,,,,,,,,
,PG,,,дисплей со скалярным значением,"объект, представляющий информацию в видимой форме одной скалярной переменной",ISO 81346-2:2019,Представляемое количество,,,,,,,
,,PGA,,вольтметр,"дисплей со скалярным значением, представляющий электрическое напряжение
-
Инструмент, предназначенный для измерения значения напряжения",ГОСТ IEC 61010-2-033-2013,,,вольтметр,IfcElectricVoltageMeasure,,,,
,,PGB,,индикатор удельного сопротивления,"дисплей со скалярным значением, представляющий удельное сопротивление или проводимость",,,,,,,,,
,,PGC,,амперметр,"дисплей со скалярным значением, представляющий электрический ток
-
Прибор, предназначенный для измерения силы тока.",ГОСТ IEC 60050-300-2015,,,амперметр,,,,,
,,PGD,,плотномер,"дисплей со скалярным значением, представляющий плотность
-
Прибор для непрерывного (или периодического) измерения плотности вещества в процессе производства или переработки, устанавливается непосредственно в технологических линиях или производственных агрегатах.",СТО 56947007-29.240.039-2010,,,плотномер,,,,,
,,PGE,,индикатор поля,"дисплей со скалярным значением, представляющий поле",,,,,,,,,
,,PGF,,расходомер,"дисплей со скалярным значением, представляющий поток",,,,,,,,,
,,PGG,,измерительный индикатор,"дисплей со скалярным значением, представляющий пространственные измерения и/или положение",,,"индикатор угла, индикатор положения",,,,,,
,,PGH,,счетчик электроэнергии,"дисплей со скалярным значением, представляющий энергию",,,"счетчик реактивной энергии, счетчик электроэнергии",,,,,,
,,PGJ,,ваттметр,"дисплей со скалярным значением, представляющий электроэнергию
-
Прибор, предназначенный для измерения активной мощности.",ГОСТ IEC 60050-300-2015,,,ваттметр,,,,,
,,PGK,,часы,"дисплей со скалярным значением, представляющий время",,,,,,,,,
,,PGL,,индикатор уровня,"дисплей со скалярным значением, представляющий уровень",,,смотровое стекло,,,,,,
,,PGM,,индикатор влажности,"дисплей со скалярным значением, представляющий влажность",,,гигрометр,,,,,,
,,PGP,,индикатор давления,"дисплей со скалярным значением, представляющий давление
-
Показывающий прибор, позволяющий визуально контролировать величину давления вытесняющего газа.",ГОСТ Р 51057-2001,,"барометр, манометр",манометр,,,,,
,,PGQ,,индикатор концентрации вещества,"дисплей со скалярным значением, представляющий концентрацию вещества",,,,,,,,,
,,PGR,,индикатор электромагнитных волн,"дисплей со скалярным значением, представляющий излучение",,,,,,,,,
,,PGS,,частотомер,"скалярный дисплей, представляющий интенсивность по времени",,,,,,,,,
,,PGT,,индикатор температуры,"дисплей со скалярным значением, представляющий температуру",,,,,,,,,
,,PGV,,фазометр,"дисплей со скалярным значением, представляющий смещение между активной и реактивной мощностью
-
Прибор, предназначенный для измерения сдвига по фазе между двумя переменными электрическими величинами на той же частоте, одна из которых принята за опорную фазу.",ГОСТ IEC 60050-300-2015,,,фазометр,,,,,
,,PGW,,индикатор силы,"дисплей со скалярным значением, представляющий вес, усилие или крутящий момент",,,,динамометр,,,,,
,,PGX,,аудиоспектрометр,"дисплей со скалярным значением, представляющий звук",,,,,,,,,
,,PGZ,,измеритель количества,"дисплей со скалярным значением, представляющий количество событий",,,,,,,,,
,PH,,,графический интерфейс,"объект, представляющий информацию в форме изображений, символов, текста или физических характеристик",ISO 81346-2:2019,Вид способов представления,,,,,,,
,,PHA,,дисплей,"графический интерфейс, формирующий динамическое изображение на собственной поверхности",,,"классная доска, магнитно-маркерная доска","зеркало
дорожное зеркало
дорожный светофор
табло",IfcAudioVisualAppliance,,,,
,,PHB,,проектор,"графический интерфейс, формирующий динамическое изображение на иной поверхности
-
Оптико-механический прибор для проецирования на экран изображений с оригиналов: прозрачных, непрозрачных, а также тех и других",Большой Энциклопедический словарь. 2000,,,"кинопроектор диапроектор
эпипроектор
эпидиапроектор",IfcAudioVisualAppliance,,,,
,,PHC,,принтер,"графический интерфейс, формирующий изображение на печатном носителе",,,,,IfcElectricAppliance,,,,
,,PHD,,знак,"графический интерфейс, формирующий изображение на собственной поверхности
-
Материальный предмет (явление, действие, событие), который выступает в процессе коммуникации как представитель другого предмета, свойства или отношения и используется для передачи, переработки и хранения информации ",ГОСТ 7.0-99 СИБИД,,"дорожный знак
плакат","визуальное средство информации
дорожный знак
знак безопасности
знак информирования
знак пожарной безопасности
конструкция Г-образного типа
конструкция Т-образного типа",IfcFurniture,,,,
,,PHE,,разметка,"графический интерфейс, формирующий изображение на поверхности иного объекта",,,,дорожная разметка,,,,,
,,PHF,,объект разметки,"графический интерфейс, формирующий обозначение чего-либо ввиду собственных физических характеристик и размеров",,,ориентир,"геодезический знак
геодезический пункт
катафот
стенной репер
направляющее устройство
пикет трассы",,,,,
,PJ,,,акустическое устройство,"объект, представляющий информацию в звуковой форме",ISO 81346-2:2019,Вид метода,,,,,,,
,,PJA,,громкоговоритель,"акустическое устройство, работающее на основе перемещения мембраны
-
Устройство для преобразования электрических сигналов в акустические и их последующего излучения, состоящее из одной или нескольких головок громкоговорителя, акустического оформления и других дополнительных элементов и устройств.",ГОСТ 24214-80,,,маячок,IfcAudioVisualAppliance,,,,
,,PJB,,горн,"акустическое устройство, работающее на основе потока воздуха",,,,,IfcAlarm,,,,
,,PJC,,колокол,"акустическое устройство, работающее на основе механического возбуждения объекта",,,,,IfcAlarm,,,,
,PK,,,тактильное устройство,"объект, представляющий информацию в тактильной форме",ISO 81346-2:2019,Вид метода,,,,,,,
,,PKA,,вибрационное устройство,"тактильное устройство, представляющее информацию путем вибрации",,,,,,,,,
,,PKB,,текст со шрифтом Брайля,"тактильное устройство, представляющее статическую информацию",,,,тактильное средство информации,,,,,
,,PKC,,предупреждение о свободной высоте,тактильное устройство для преодоления препятствий на местности,,,,,,,,,
,PL,,,декоративный объект,"объект, представляющий информацию в декоративной форме",ISO 81346-2:2019,Вид применяемого метода,,декор,,,,,
,,PLA,,карниз,"декоративный объект, выступающий в роли разделителя между двумя областями
-
Выступающая профильная архитектурная деталь антаблемента или стены.",ГОСТ 23342-2012,,,,,,,,
,,PLB,,статуя,"декоративный объект, выступающий в роли пространственного представления чего-либо",,,,,IfcFurniture,,,,
,,PLC,,лепнина,декоративный объект в виде выступающих фигур и/или декоративных элементов на стене,,,"пилястры, лепнина","капитель
панно",IfcFurniture,,,,
,,PLD,,картина,"декоративный объект, представляющий, иллюстрирующий или воспроизводящий что-либо на поверхности",,,,,IfcFurniture,,,,
,,PLE,,ковер,"декоративный объект, представляющий собой ткань, покрывающую другой объект",,,,,IfcFurniture,,,,
,PZ,,,"объект, представляющий множество видов информации","объект, представляющий информацию в нескольких формах",ISO 81346-2:2019,Вид применяемого метода,,,,,,,
,,PZA,,аудиовизуальная сигнализация,"объект, представляющий информацию для отдельных состояний в нескольких формах",,,,,IfcAlarm,,,,
,,PZB,,телевизор,"объект, представляющий множество видов информации в нескольких формах",,,,,IfcElectricAppliance,,,,
Q_,,,,объект управления доступом или потоком среды,объект для управления доступом или потоком,ISO 81346-2:2019,Вид потока объектов и вид метода,,,,,,,
,QA,,,электрический объект управления,объект управления электрическим током в электрической цепи,ISO 81346-2:2019,Вид метода переключения,,,,,,,
,,QAA,,контактор,"электрический объект управления, воздействующий механическим путем только в нормальных условиях эксплуатации
-
Механический выключатель, имеющий только одно положение покоя, не предназначенный для управления вручную, способный включать, пропускать и отключать ток в нормальных условиях цепи, в том числе в условиях работ.",ГОСТ IEC 60309-4-2017  ,,пусковое устройство двигателя,,"IfcElectricDistributionBoard, IfcSwitchingDevice",,,,
,,QAB,,автоматический выключатель,"электрический объект управления, воздействующий механическим путем в нормальных и ненормальных условиях эксплуатации
-
Контактное коммутационное устройство, способное включать, проводить и отключать электрические токи при нормальных условиях электрической цепи, а также включать, проводить в течение установленного времени и отключать электрические токи при определенных анормальных условиях электрической цепи, таких как короткое замыкание.",ГОСТ IEC 60947-1-2017,,,автоматический выключатель,"IfcProtectiveDeviceTrippingUnit, IfcProtectiveDevice",,,,
,,QAC,,электронный выключатель электропитания,"электрический объект управления, воздействующий электронным способом",,,"дефибриллятор, пускатель электродвигателя, твердотельный силовой транзистор, тиристор, лампа
транзистор",,,,,,
,QB,,,объект разрыва электрической цепи,"объект управления, действующий путем разрыва электрических цепей",ISO 81346-2:2019,Вид назначения,,,,,,,
,,QBA,,разъединитель без предохранителя,"объект разделения электрической цепи путем механической изоляции вышестоящей цепи от нижестоящей цепи
-
Контактный коммутационный аппарат, в разомкнутом положении соответствующий требованиям к функции разъединения.",ГОСТ IEC 60947-1-2017,,"разъединитель, переключатель нагрузки",выключатель,IfcProtectiveDevice,,,,
,,QBB,,предохранитель-разъединитель,"объект разделения электрической цепи путем механической изоляции
вышестоящей цепи от нижестоящей цепи со встроенным предохранителем",ГОСТ IEC 60947-3-2016,,"разъединитель с предохранителем, выключатель с предохранителем",,IfcProtectiveDevice,,,,
,QC,,,объект электрического заземления,объект управления действующий путем заземления электрических цепей,ISO 81346-2:2019,Вид назначения,,,,,,,
,,QCA,,заземлитель,"объект электрического заземления, соединяющий электрические цепи c землей
-
Проводящая часть или совокупность электрически соединенных между собой проводящих частей, находящихся в электрическом контакте с локальной землей непосредственно или через промежуточную проводящую среду.", ГОСТ Р 58698-2019  ,,,"заземление анодное
заземляющий электрод","IfcProtectiveDevice, IfcCableFitting",,,,
,QM,,,объект для переключения потока среды,объект управления путем переключения потока среды в герметичном корпусе,ISO 81346-2:2019,Вид жидкостей,,,,,,,
,,QMA,,жидкостный запорный клапан,"объект для переключения потока жидкости в герметичном корпусе
-
Управляемый вручную двухходовой клапан, который пропускает или перекрывает поток жидкости",ГОСТ Р 53780-2010,,"отводной кран, кран, пробка",запорно-пусковое устройство,IfcValve,,,,
,,QMB,,газовый запорный клапан,объект для переключения потока газа в герметичном корпусе,,,"двухпозиционная заслонка, заглушка",,IfcValve,,,,
,QN,,,объект для изменения потока среды,объект управления путем изменения потока среды в герметичном корпусе,ISO 81346-2:2019,Вид жидкостей,,,,,,,
,,QNA,,клапан управления потоком жидкости,объект для изменения потока жидкости в герметичном корпусе,,,,"дозатор
дренчерный ороситель
ороситель",IfcValve,,,,
,,QNB,,клапан управления потоком газа или воздуха,объект для изменения потока газа в герметичном корпусе,,,регулирующий клапан,"акселератор
воздухораспределитель приточного воздуха",IfcValve,,,,
,QP,,,объект управления в открытой среде,объект управления жидкостями в открытой среде,ISO 81346-2:2019,Вид жидкостей,,,,,,,
,,QPA,,ворота шлюза,объект управления жидкостями в открытой среде путем изменения или переключения потока,,,"перевал, жидкостный затвор",затвор (гидросооружения),,,,,
,,QPB,,пассивное устройство направления потока жидкости,объект управления жидкостями в открытой среде путем направления потока фиксированными средствами,,,"носовой наплыв, гребень, подфюзеляжный гребень, гребень на крыле",водобой,,,,,
,,QPC,,активное устройство направления потока жидкости,объект управления жидкостями в открытой среде путем направления потока переменными средствами,,,,,,,,,
,QQ,,,объект доступа к пространству,"объект, обеспечивающий доступ к пространству",ISO 81346-2:2019,Вид назначения объекта доступа к пространству,,,,,,,
,,QQA,,окно,"объект доступа к пространству только для света
-
Сооружение, закрывающее вертикальный или наклонный проем в стене или скатной крыше, пропускающее свет и допускающее вентиляцию",ГОСТ Р ИСО 6707-1-2020,,,"мансардное окно
окно
оконный блок","IfcWindow, IfcWindowStandardCase",,,,
,,QQB,,витраж,"объект доступа к пространству для света и людей
-
Изделие, состоящее из разнообразных по форме, цвету, прозрачности, способу изготовления пластин стекла, закрепленных в каркасе из тонких металлических или полимерных профилей.",ГОСТ 32539-2013,,,витраж,"IfcWindow, IfcWindowStandardCase",,,,
,,QQC,,дверь,"объект доступа к пространству для прохода в вертикальном положении человека
-
Сооружение, закрывающее проем, предназначенное главным образом для входа и/или выхода",ГОСТ Р ИСО 6707-1-2020,,,дверь,"IfcDoor, IfcDoorStandardCase",,,,
,,QQD,,люк,"объект доступа к пространству ограниченного размера для прохода людей и товаров
-
Проем, обеспечивающий ограниченный доступ",ГОСТ Р ИСО 6707-1-2020,,аварийный люк,люк,"IfcDoor, IfcDoorStandardCase",,,,
,,QQE,,ворота,"объект доступа к пространству расширенного размера для передачи объектов
-
Дверь, габариты которой позволяют обеспечить пропуск автотранспорта, предназначенная для открывания и закрывания проезда ",ГОСТ Р 51242-98,,,ворота,IfcDoor,,,,
,,QQF,,гейт,объект частичного доступа к пространству,,,,,,,,,
,QR,,,объект для изменения потока твердого вещества,объект управления потоком твердого вещества,ISO 81346-2:2019,Вид метода,,,,,,,
,,QRA,,поворотный воздушный запорный клапан,объект для изменения потока твердого вещества c вращающимися камерами,,,дозирующая машина,,IfcValve,,,,
,,QRB,,ирисовый клапан,объект для изменения потока твердого вещества с диафрагменным отверстием,,,дозирующая машина,,IfcValve,,,,
,,QRC,,лепестковый затвор,объект для изменения потока твердого вещества c откидной заслонкой или диском,,,дозирующая машина,,IfcValve,,,,
,QS,,,объект управления механическим движением,объект управления механическим движением,ISO 81346-2:2019,Вид метода,,,,,,,
,,QSA,,замок,объект управления механическим движением путем блокировки,,,защелка,,IfcActuator,,,,
,,QSB,,стрелочный перевод,объект управления механическим движением путем переключения между различными путями,,,,,,,,,
,QZ,,,многоцелевой объект управления,объект управления в электрических цепях при использовании различных мер,ISO 81346-2:2019,Вид назначения,,,,,,,
,,QZA,,заземляющий и разъединяющий переключатель,многоцелевой объект управления для заземления или разделения электрической цепи,,,,,,,,,
R_,,,,ограничивающий объект,объект для ограничения или стабилизации,ISO 81346-2:2019,Вид текущего объекта и вид ограничения,,,,,,,
,RA,,,объект для ограничения электричества,"объект, ограничивающий поток электрической энергии",ISO 81346-2:2019,Вид метода,,,,,,,
,,RAA,,диод,"объект, ограничивающий электроэнергию, блокируя ток в одном направлении
-
Двухэлектродный прибор, имеющий существенно нелинейную вольт-амперную характеристику в области, близкой к началу координат ",СТО 70238424.27.010.001-2008,,,,,,,,
,,RAB,,электрический дроссель,"объект, ограничивающий электроэнергию путем обеспечения индуктивности в цепи",,,ограничитель,дроссель-трансформатор,,,,,
,,RAC,,резистор,"объект, ограничивающий электроэнергию путем обеспечения сопротивления в цепи
-
Элемент электрической цепи, предназначенный для использования его электрического сопротивления",ГОСТ Р 52002-2003,,,,,,,,
,RB,,,объект для стабилизации электричества,"объект, осуществляющий ограничение путем стабилизации потока электрической энергии",ISO 81346-2:2019,Вид метода,,,,,,,
,,RBA,,источник бесперебойного питания,"объект, стабилизирующий электричество, обеспечивая непрерывное энергоснабжение
-
Сочетание преобразователей, переключателей и устройств хранения электроэнергии (например, аккумуляторных батарей), образующее систему электропитания для поддержания непрерывности питания нагрузки в случае отказа источника энергоснабжения.",ГОСТ Р МЭК 62040-1-2-2009,,ИБП,источник бесперебойного питания,IfcElectricFlowStorageDevice,,,,
