Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,,CDB010,Парк,"Участок озелененной территории общего пользования, основной вид разрешенного использования которого - рекреация",СП 475.1325800.2020,,,
,,,CDB020,Сквер,"Озелененная территория общего пользования небольшого размера, являющаяся элементом оформления площади, общественного центра, магистрали, используемая для кратковременного отдыха и пешеходного транзитного движения",ГОСТ 28329-89,,,
,,,CDB030,Бульвар,"Озелененная территория общего пользования вдоль магистралей, набережных в виде полосы различной ширины, предназначенная для пешеходного транзитного движения и кратковременного отдыха",ГОСТ 28329-89,,,
,,,CDB040,Городской сад,"Озелененная территория с ограниченным набором видов рекреационной деятельности, предназначенная для прогулок и повседневного отдыха населения, размером от 2 до 5 га",СП 476.1325800.2020,,Сад жилого района,
,,,CDB050,Цветник,"Участок геометрической или свободной формы с высаженными одно-, дву- или многолетними цветочными растениями",ГОСТ 28329-89,,"Розарий
Миксбордер
Клумба
Рабатка",Определение синтезировано
,CE,,,Место для тел умерших,"Место, предназначенное для хранения тел умерших",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,CEA,,Временное размещение тел,"Помещение, предназначенное для временного размещения тел умерших",,,,Определение синтезировано
,,,CEA010,Морг,"Помещение при больницах, учреждениях судебно-медицинской экспертизы для хранения, опознания, вскрытия и выдачи трупов для захоронения",СП 308.1325800.2017,,,
,,,CEA020,Помещение приема трупов,Помещение приема трупов,СП 158.13330.2014,,,Определение синтезировано
,,,CEA030,Зал для исследования трупов,Зал для исследования трупов,СП 158.13330.2014,,Секционная,Определение синтезировано
,,,CEA040,Комната подготовки трупов,Комната подготовки трупов,СП 158.13330.2014,,"Помещение для одевания, санитарной и косметической обработки трупов и бальзамирования",Определение синтезировано
,,,CEA050,Помещение выдачи трупов,Помещение выдачи трупов,СП 158.13330.2014,,,Определение синтезировано
,,,CEA060,Помещение для хранения трупов с холодильной установкой,Помещение для хранения трупов с холодильной установкой,СП 35-113-2004,,,Определение синтезировано
,,CEB,,Постоянное размещение тел,"Помещение, предназначенное для постоянного размещения тел умерших",,,,Определение синтезировано
,,,CEB010,Колумбарий,Зал с нишами в стенах для захоронения урн с прахом умерших после их кремации,Терминологический словарь по строительству,,,
D,,,,Пространство для технических систем,"Пространство, предназначенное для расположения технических систем",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,DA,,,Пространство для установок (технических систем),"Пространство для технических систем, поддерживающих функционирование строительных объектов",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,DAA,,Пространство для электротехнических установок,"Пространство, предназначенное для установки электротехнического оборудования",IEC 81346-2:2019,,,
,,,DAA010,Помещение с аккумуляторами,Помещение с аккумуляторами,СП 76.13330.2016,,"Помещение с герметизированными аккумуляторами
Аккумуляторная с тамбуром",Определение синтезировано
,,,DAA020,Электрощитовая,"Помещение, к которому проложены электрические кабели от трансформаторной подстанции, предназначенное для размещения электрооборудования",СТО НОСТРОЙ 2.16.65-2012,,,
,,,DAA030,Светопроекционная,Помещение для размещения прожекторов и проекционных аппаратов,СП 309.1325800.2017,,,
,,,DAA040,Светоаппаратная,"Помещение, в котором размещается пульт и аппаратура для автоматического управления светом на сцене",СП 309.1325800.2017,,,
,,DAB,,Пространство для вычислительной техники,"Пространство, предназначенное для установки электронного оборудования",IEC 81346-2:2019,,,
,,,DAB010,Помещение для электронно-вычислительных машин,Помещение для электронно-вычислительных машин,,,,Определение синтезировано
,,,DAB020,Центр обработки данных,Помещение для размещения основного серверного и телекоммуникационного оборудования и подключения его к каналам связи,"Положение ПАО ""Россети""",,,
,,,DAB030,Серверная,Выделенное технологическое помещение со специально созданными и поддерживаемыми условиями для размещения и функционирования серверного и телекоммуникационного оборудования,СП 98.13330.2018,,Серверное помещение,
,,,DAB040,Помещение коммутаторной,Помещение коммутаторной,СП 278.1325800.2016,,,Определение синтезировано
,,DAC,,Пространство для установки механических установок,"Пространство, предназначенное для установки механического оборудования",IEC 81346-2:2019,,,Определение синтезировано
,,,DAC010,Машинное отделение,"Помещение, предназначенное для размещения основного оборудования холодильной системы, с учетом обеспечения безопасности",ГОСТ 12.2.233-2012,,,
,,,DAC020,Помещение с лифтовым оборудованием,"Помещение, предназначенное для размещения лифтового оборудования",ГОСТ 34377-2018,,Машинное отделение лифта,Определение синтезировано
,,,DAC030,Пространство с грузоподъемным оборудованием,"Помещение, предназначенное для размещения лифтового оборудования",IEC 81346-2:2019,,,Определение синтезировано
,,,DAC040,Вентиляционная камера,Специальное помещение для размещения приточных и вытяжных установок,СП 336.1325800.2017,,"Венткамера
Помещение для вентиляционного оборудования
Зона размещения установок тоннельной вентиляции и ФВУ",
,,,DAC050,Насосная,"Помещение, предназначенное для размещения насоса",СП 263.1325800.2016,,Насосная топливохранилища,Определение синтезировано
,,,DAC060,Трюм сцены (нижняя сцена),"Помещение под сценой, предназначенное для размещения нижнего механооборудования сцены, подъемно-опускных устройств, приспособлений для сценических эффектов",СП 309.1325800.2017,,,
,,DAD,,Пространство для установок различного назначения,"Пространство, предназначенное для нескольких видов технического оборудования",IEC 81346-2:2019,,,Определение синтезировано
,,,DAD010,Климатическая камера,"Помещение в лабораторном корпусе селекционного комплекса, предназначенное для размещения камер искусственного климата, в которых выполняются селекционно-генетические, физиологические исследования на засухоустойчивость, морозоустойчивость и т.д.",НТП-АПК 1.10.09.001-02,,,
,,,DAD020,Машинный зал,"Помещение, в котором устанавливается определенный тип машин и относящееся к ним вспомогательное оборудование",Терминологический словарь по строительству,,,
,,,DAD030,Аппаратная,"Помещение, предназначенное для размещения устройств управления постановочным освещением, связи, электроакустических и кинотехнологических устройств, электроустановок питания и управления электроприводами механизмов сцены (эстрады), для размещения части осветительных и проекционных приборов",СП 309.1325800.2017,,,
,,,DAD040,Помещение для оборудования,"Помещение, предназначенное для установки разнопланового оборудования",СП 60.13330.2016,,Помещения с пылеуловителями для сухой очистки взрывоопасных смесей,Определение синтезировано
,,,DAD050,Техническое помещение,"Нежилое помещение, предназначенное для технического обслуживания внутридомовых инженерных систем, с ограниченным доступом, разрешенным специалистам служб эксплуатации и специалистам служб безопасности и спасения в экстренных случаях",СП 54.13330.2016,,,
,DB,,,Пространство для технологического оборудования,"Пространство для технических систем, поддерживающих технологию производства",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,DBA,,Пространство для контрольного-измерительного оборудования,"Пространство для технологического оборудования, предназначенное для контроля, регулирования и мониторинга",IEC 81346-2:2019,,,Определение синтезировано
,,,DBA010,Центр управления здания,"Помещение (группа помещений), оборудованное техническими средствами связи, мониторинга и управления системами диспетчеризации высотного здания, специализированной мебелью, системами жизнеобеспечения и, при необходимости, предназначенное для круглосуточного дежурства персонала",СП 267.1325800.2016,,,
,,,DBA020,Операторная,"Помещение или группа помещений для размещения в них совокупности различных систем и средств контроля и автоматики, с помощью которых автоматически или при участии персонала осуществляется дистанционное управление технологическими процессами на установках и производствах",ГОСТ Р 57955-2017,,,
,,,DBA030,Помещение для управления освещением,"Помещение, предназначенное для размещения аппаратуры управления освещением в здании",СП 439.1325800.2018,,,Определение синтезировано
,,,DBA040,Пункт управления,"Специально подготовленное и оснащенное место, предназначенное для размещения и обеспечения работы органа, осуществляющего управление ГО и РСЧС силами и средствами",ГОСТ Р 42.0.03-2016,,,
,,DBB,,Пространство для производственного оборудования,"Пространство для технологического оборудования, предназначенное для изготовления и подготовки изделий",IEC 81346-2:2019,,,Определение синтезировано
,,,DBB010,Производственный цех типографии,"Помещение, предназначенное для установки полиграфического оборудования",ГОСТ Р 56852-2016,,,Определение синтезировано
,,,DBB020,Цех заготовки мяса и птицы,Цех заготовки мяса и птицы,СП 145.13330.2012,,,Определение синтезировано
,,,DBB030,Цех заготовки овощей,Цех заготовки овощей,СП 145.13330.2012,,,Определение синтезировано
,,,DBB040,Цех заготовки рыбы,Цех заготовки рыбы,СП 145.13330.2012,,,Определение синтезировано
,,DBC,,Пространство для сервисного оборудования,"Пространство для технологического оборудования, предназначенное для служебных функций",IEC 81346-2:2019,,,Определение синтезировано
,,,DBC010,Копировально-множительный центр,"Пространство, предназначенное для размещения в нем сервисного оборудования",СП 460.1325800.2019,,,Определение синтезировано
,,,DBC020,Зал с множительной техникой,"Пространство, предназначенное для размещения в нем сервисного оборудования",СП 118.13330.2012,,,Определение синтезировано
,,DBD,,Пространство для аналитического оборудования,"Пространство, предназначенное для размещения в нем аналитического оборудования",IEC 81346-2:2019,,,Определение синтезировано
,,,DBD010,Помещение для компьютерного томографа,"Помещение, в котором установлен в рабочем состоянии компьютерный томограф и которое предназначено для рентгенологических исследований или лечения",СП 158.13330.2014,,,Определение синтезировано
,,,DBD020,Помещение для установки рентгеновского аппарата,"Помещение, в котором установлено в рабочем состоянии рентгеновское оборудование и которое предназначено для рентгенологических исследований или лечения",СП 158.13330.2014,,,Определение синтезировано
,,,DBD030,Зал обсерватории,"Помещение, в котором установлено оборудование для астрономических исследований",ГОСТ Р 7.0.49-2007,,,Определение синтезировано
,DC,,,Пространство для эксплуатации оборудования,"Пространство для технических систем, обеспечивающее обслуживание оборудования",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,DCA,,Рабочая зона,"Минимальное пространство, необходимое для выполнения определенных действий",ГОСТ Р 58033-2017,,,
,,,DCA010,Граница рабочего пространства робота,"Пространство, в котором могут находиться подвижные элементы робота, плюс пространство, в котором могут находиться манипуляторы и полезная нагрузка",ГОСТ Р 60.2.2.1-2016/ИСО 13482:2014,,,
,,DCB,,Свободное пространство вокруг оборудования,"Пространство вокруг оборудования, занимаемое пользователем при совершении движения и обусловленное конструкцией этого оборудования",ГОСТ 34614.1-2019,,,
,,,DCB010,Зона безопасности,"Зона (полоса) у края функционального элемента (площадки), предназначенная для предотвращения травмоопасных ситуаций",СП 35-101-2001,,,
,,,DCB020,Зона доступа,"Область, ограничивающая рабочее пространство со стороны оператора",ГОСТ EN 50274-2012,,,
,,,DCB030,Зона безопасности (спортивного оборудования),Пространство примыкающее к внешнему периметру соревновательной зоны или спортивного оборудования,СП 332.1325800.2017,,,
E,,,,Пространство для связей между другими пространствами,"Пространство, предназначенное для связей между другими пространствами",,По функциональному назначению,,
,EA,,,Коммуникационное пространство,"Зоны, помещения зданий и сооружений, участков, предназначенные, главным образом, для движения по ним людских потоков",ГОСТ Р 58033-2017,По функциональному назначению,,
,,EAA,,Входная группа,"Часть здания, предназначенная для пропуска людей внутрь, в том числе для пропуска маломобильных посетителей ",СП 59.13330.2016,,,
,,,EAA010,Крыльцо,"Пространство перед входной дверью дома, накрытое навесом.",ГОСТ Р 58033-2017,,,
,,,EAA020,Тамбур,Вспомогательное помещение между дверьми для защиты от воздействий внешней среды,ГОСТ Р 58033-2017,,"Внутренний тамбур
Внешний тамбур
Двойной тамбур",
,,,EAA030,Тамбур-шлюз,"Проходное пространство между дверями при входе в здание, лестничную клетку или другие помещения, служащее для защиты от проникания горючих газов, паров, пылей и опасных факторов пожара",СП 4.13130.2013,,,
,,,EAA040,Теплый бокс (тамбур) при приемном отделении,"Отапливаемое помещение, предназначенное для заезда машин скорой помощи, их кратковременной остановки и выгрузки из них больных",СП 158.13330.2014,,,
,,,EAA050,Зона вращающейся двери,"Дверь вращающаяся - дверь с крестообразно расположенными четырьмя полотнами, вращающаяся вокруг вертикальной оси",Терминологический словарь по строительству,,,
,,,EAA060,Вестибюль,"Помещение перед входом во внутренние части здания, предназначенное для приема и распределения потоков посетителей.",ГОСТ Р 58033-2017,,Вестибюль-гардероб,
,,,EAA070,Вестибюль входной,"Помещение, расположенное при входе перед распределительным вестибюлем, предназначенное для приема потоков зрителей",СП 309.1325800.2017,,,
,,,EAA080,Вестибюль распределительный,"Помещение, расположенное за входным вестибюлем, предназначенное для разделения встречных и пересекающихся потоков входящей публики",СП 309.1325800.2017,,,
,,,EAA090,Аванвестибюль,"Дополнительный предвестибюль, как правило перед зоной контроля, для ожидания, получения справок, решения вопросов входа (допуска) в здание",СП 136.13330.2012,,,
,,,EAA100,Прихожая,"Многофункциональное помещение в квартирах, в которое непосредственно попадает человек, входящий в дом с улицы",Терминологический словарь по строительству,,Передняя,
,,,EAA110,Доступ в подвальный этаж,"Пространство без крыши ниже уровня земли, которое предоставляет доступ в одну или несколько комнат подвального этажа",ГОСТ Р 58033-2017,,,
,,EAB,,Пространство для регулирования прохода,"Пространство, предназначенное для регулирования прохода, потоков посетителей, создания зоны ожидания и досмотра",,,,Определение синтезировано
,,,EAB010,Зона турникета,"Турникет - автономное УПУ (устройства преграждающие управляемые) с частичным или полным перекрытием проема, предназначенное для санкционированного пропуска потока людей",ГОСТ Р 54831-2011,,,Определение синтезировано
,,,EAB020,Шлюзовая управляемая кабина (шлюз),"Автономное УПУ (устройства преграждающие управляемые), предназначенное для санкционированного пропуска людей, обеспечивающее блокирование человека в точке доступа в процессе идентификации и обнаружения несанкционированного доступа",ГОСТ Р 54831-2011,,,
,,,EAB030,Зона проходной кабины,"Проходная кабина - автономное УПУ (устройства преграждающие управляемые), предназначенное для санкционированного пропуска людей, обеспечивающее блокирование человека в точке доступа в процессе идентификации и обнаружения несанкционированного доступа",ГОСТ Р 54831-2011,,,
,,,EAB040,Контрольно-пропускной пункт,Специально оборудованное место на объекте для осуществления контроля в установленном порядке за проходом людей и проездом транспортных средств на территорию объекта,СП 267.1325800.2016,,,
,,,EAB050,Пункт весового и габаритного контроля,"Место контроля весовых и габаритных характеристик транспортных средств, оборудованное служебными помещениями, оснащенное инженерными сооружениями и техническими средствами для размещения транспортных средств и измерения их весовых и габаритных характеристик",ГОСТ Р 52765-2007,,,
,,,EAB060,Внутренний периметр безопасности,"Зона безопасности между турникетами стадиона и проходами, ведущими на трибуны.",СП 285.1325800.2016,,,
,,,EAB070,Зона доступа и досмотра пассажиров,"Зона, предназначенная для предполетного досмотра пассажиров и багажа",СП 417.1325800.2018,,,Определение синтезировано
,,EAC,,Транзитное пространство,"Пространство, в котором человек передвигается между исходным и конечным помещением",,,,Определение синтезировано
,,,EAC010,Коридор,"Помещение, являющееся средством сообщения других помещений (комнат)",ГОСТ Р 58033-2017,,,
,,,EAC020,Галерея,"Расположенные вдоль стен здания открытые, имеющие ограждение, неостекленные помещения, вытянутые в плане, с покрытием или без него",ГОСТ Р 58033-2017,,,
,,,EAC030,Переход,"Открытые коммуникации в жилых домах галерейного типа, жилых корпусах гостиниц, домов отдыха, пансионатов, кемпингов и т.п. общественных зданиях временного пребывания, с которых осуществляется непосредственный вход в квартиру, жилую ячейку или номер",СП 137.13330.2012,,,
,,,EAC040,Проход,"Части коммуникационных пространств, предназначенных исключительно для движения",ГОСТ Р 58033-2017,,,
,,,EAC050,Кулуар,"Промежуточное пространство, прилегающее к зрительному залу, обеспечивающее доступ в различные части зала и лож из фойе, буфета или вестибюля",СП 309.1325800.2017,,,
,,,EAC060,Коммуникационный путь (пути движения),"Части коммуникационных пространств, предназначенных исключительно для движения. ",СП 136.13330.2012,,,
,,EAD,,Вертикальное неавтоматизированное пространство для перемещения,"Пространство, предназначенное для неавтоматизированного вертикального перемещения ",,,,Определение синтезировано
,,,EAD010,Клетка лестничная,"Пространство внутри здания или сооружения, предназначенное для размещения лестницы",ГОСТ Р 58033-2017,,,
,,,EAD020,Площадка лестничная,Площадка между лестничными пролетами,ГОСТ Р 58033-2017,,,
,,,EAD030,Зона пандуса,"Наклонная пологая плоскость, устраиваемая в зданиях вместо лестниц для входа и въезда",ГОСТ Р 58033-2017,,Рампа,
,,EAE,,Вертикальное автоматизированное пространство для перемещения,"Пространство, предназначенное для автоматизированного вертикального перемещения ",,,,Определение синтезировано
,,,EAE010,Зона подъемной платформы,"Платформа подъемная - грузоподъемная машина периодического действия для подъема и спуска пользователей, размещающихся на грузонесущем устройстве, которое перемещается по вертикальной или наклонной траектории",СП 59.13330.2016,,,
,,,EAE020,Шахта лифта,"Пространство, в котором перемещается кабина, противовес и/или уравновешивающий груз (при их наличии), а также другое оборудование лифта",ГОСТ Р 58033-2017,,,
,,,EAE030,Зона движения лестничного подъемника,"Лестничный подъемник - автономное мобильное средство для подъема и спуска МГН в креслах-колясках по лестничным маршам, крутым подъемам, а также в ландшафтно-парковых зонах с рельефной поверхностью",СП 136.13330.2012,,,
,,,EAE040,Зона эскалатора,"Эскалатор - наклонная непрерывно движущаяся лестница с механическим приводом для подъема или спуска пассажиров, у которой несущая поверхность ступеней остается горизонтальной",ГОСТ Р 58033-2017,,,
,,,EAE050,Зона дорожки движущейся,"Дорожка движущаяся - установка с силовым приводом для транспортировки людей, в которой поверхность, несущая пользователя, остается параллельной направлению движения и не прерывается",ГОСТ Р 58033-2017,,Траволатор,
,,,EAE060,Зона конвейера,Конвейер - машина для непрерывного транспортирования грузов,ГОСТ 33966.1-2016,,,
,,EAF,,Проходное пространство через здание,"Пространство, предназначенное для прохода через здание",ГОСТ 18501-73,,,Определение синтезировано
,,,EAF010,Зона сквозного прохода в здании,Проход - пешеходное пространство между конструктивными и (или) функциональными элементами (оборудованием),СП 59.13330.2016,,,
,,,EAF020,Зона сквозного проезда в здании,"Проезд - территория, предназначенная для движения как транспорта, так и пешеходов",СП 52.13330.2016,,,
,EB,,,Пространство для обслуживания,"Пространство, предназначенное для обслуживания",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,EBA,,Горизонтальное пространство для обслуживания с доступом людей,"Горизонтальное пространство, предназначенное для обслуживания с доступом людей",,,,Определение синтезировано
,,,EBA010,Пространство технического этажа,"Пространство для размещения инженерного оборудования и прокладки коммуникаций; может быть расположен в нижней (техническое подполье), верхней (технический чердак) или в средней части здания",СП 56.13330.2011,,,Определение синтезировано
,,,EBA020,Коридор технического обслуживания,"Пространство, в которое допускается только квалифицированный персонал для проведения технического обслуживания установленного оборудования",ГОСТ Р 51321.1-2007,,,
,,,EBA030,Проход для технического обслуживания,"Пространство, в которое допускается только квалифицированный персонал для проведения технического обслуживания установленного оборудования",ГОСТ Р 51321.1-2007,,"Проходной, полупроходной",
,,,EBA040,Техническая галерея,"Пространство, доступ к которому и проход через которое закрыт, используемое, как правило, только для технического обслуживания",ГОСТ EN 378-1-2014,,,
,,EBB,,Вертикальное пространство для обслуживания с доступом людей,"Вертикальное пространство, предназначенное для обслуживания с доступом людей",,,,Определение синтезировано
,,,EBB010,Техническая шахта,"Вертикальное пространство, предназначенное для обслуживания с доступом людей",,,,Определение синтезировано
,,,EBB020,Кабельная шахта проходная,Закрытое вертикальное протяженное проходное (снабженное по всей высоте скобами или лестницей) сооружение с кабельными конструкциями,СТО 56947007-29.240.85.046-2010,,,
,,EBC,,Пространство для обслуживания без доступа людей,"Пространство, предназначенное для обслуживания без доступа людей",,,,Определение синтезировано
,,,EBC010,Воздухозаборник,"Устройство, предназначенное для сбора воздуха в системах теплоснабжения и отопления",СП 336.1325800.2017,,,
,,,EBC020,Мусоропровод,"Составная часть комплекса инженерного оборудования зданий, предназначенного для приема, вертикального транспортирования и временного хранения ТБО",СП 31-108-2002,,,
,,,EBC030,Кабельная шахта непроходная,Закрытое вертикальное протяженное непроходное (со съемной полностью или частично стеной или дверями (люками) на каждом этаже) сооружение с кабельными конструкциями,СТО 56947007-29.240.85.046-2010,,,
,,,EBC040,Вентиляционный канал,"Вертикальный канал, предназначенная для подачи или удаления воздуха",СП 265.1325800.2016,,,
F,,,,Пространство для движения транспорта,"Пространство, предназначенное для движения транспорта",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,FA,,,Пространство для движения автотранспорта,"Пространство, предназначенное для движения автомобильного транспорта",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,,FAA,,Проезжая часть,"Часть дороги, улицы или мостового полотна, предназначенная для движения транспорта",ГОСТ Р 58033-2017,,,
,,FAB,,Полоса движения,"Продольная полоса проезжей части, по которой движение транспортных средств происходит в один ряд ",ГОСТ Р 58033-2017,,,
,,,FAB010,Придорожная полоса,"Земельные участки, которые прилегают с обеих сторон к полосе отвода автомобильной дороги и в границах которых устанавливается особый режим их использования в целях обеспечения требований безопасности дорожного движения, а также нормальных условий реконструкции, капитального ремонта и эксплуатации автомобильной дороги, ее сохранности с учетом перспектив развития автомобильной дороги;",ТР ТС 014/2017,,,
,,,FAB020,Краевая полоса,"Полоса обочины, предназначенная для защиты от разрушения кромки проезжей части и допускающая случайные заезды на нее транспортных средств",ГОСТ 33100-2014,,,
,,,FAB030,Полоса безопасности,"Специально подготовленный участок дорожного полотна, примыкающий к границе проезжей части, который допускает регулярные заезды транспортных средств для избегания аварийных ситуаций",ГОСТ Р 52399-2005,,,
,,FAC,,Обочина,"Элемент дороги, примыкающий непосредственно к проезжей части и предназначенный для обеспечения устойчивости земляного полотна, повышения безопасности дорожного движения, организации движения пешеходов и велосипедистов, а также использования в чрезвычайных ситуациях",ГОСТ Р 58033-2017,,,
,,FAD,,Придорожная площадка для стоянки автомобилей,Площадки или уширения проезжей части для остановок автомобилей у объектов дорожного сервиса и других привлекательных мест,ГОСТ Р 52765-2007,,,
,,,FAD010,Стоянка автомобильная,"Открытая, специально оборудованная площадка для хранения автомобилей",ГОСТ Р 58033-2017,,"Автостоянка для автомашин общим весом свыше 16 тс
Стоянка легкового и туристского автотранспорта
Стоянка личного автотранспорта инвалидов
Стоянка с местами для автомобилей инвалидов на кресле-коляске",
,,,FAD020,Площадка для стоянки и остановки транспортных средств,"Оборудованная площадка или уширение проезжей части для остановки и кратковременной стоянки автомобилей у объектов дорожного сервиса, историко-архитектурных комплексов и других, привлекательных для участников дорожного движения мест с систематической остановкой автомобилей",ГОСТ 32846-2014,,,
,,,FAD030,Стояночная полоса,"Укрепленная часть поверхности земляного полотна, предназначенная для остановки и стоянки на ней транспортных средств, обозначенная специальными дорожными знаками",ГОСТ Р 52399-2005,,,
,,,FAD040,Зона остановочного пункта маршрутных транспортных средств,"Пространство, предназначенное для остановки маршрутных транспортных средств, ожидания, посадки и высадки пассажиров",ГОСТ 33062-2014,,,
