Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,,,,CBATB050,Конструктивный и объемно-планировочный чертеж объектов гражданской обороны,"Структурный элемент графической части Раздела 12 проектной документации ""Иная документация в случаях, предусмотренных федеральными законами"", содержащий конструктивный и объемно-планировочный чертеж объектов гражданской обороны",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,CBB,,,,Проектная документация линейного ОКС,Проектная документация линейного ОКС согласно Постановлению Правительства РФ от 16.02.2008 N 87,Постановление Правительства РФ от 16.02.2008 N 87,По предметным группам деятельности в строительстве,,Сформулировано на основании результата анализа источников
,,,CBBA,,,"Раздел 1 проектной документации линейного объекта, содержащий общие сведения о проекте",Документированные результаты проектирования в соответствии с требованиями к содержанию Раздела 1 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,CBBAA,,"Текстовая часть Раздела 1 проектной документации линейного объекта, содержащего общие сведения о проекте",Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части Раздела 1 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBAA010,Описание исходных данных и условий для подготовки проектной документации на линейный объект,"Структурный элемент текстовой части Раздела 1 проектной документации линейного объекта, содержащего общие сведения о проекте, содержащий описание исходных данных и условий для подготовки проектной документации на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBAA020,"Сведения о климатической, географической и инженерно-геологической характеристике района на линейный объект","Структурный элемент текстовой части Раздела 1 проектной документации линейного объекта, содержащего общие сведения о проекте, содержащий сведения о климатической, географической и инженерно-геологической характеристике района на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBAA030,"Сведения о линейном объекте с указанием наименования, назначения и месторасположения","Структурный элемент текстовой части Раздела 1 проектной документации линейного объекта, содержащего общие сведения о проекте, содержащий сведения о линейном объекте с указанием наименования, назначения и месторасположения",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBAA040,Описание технико-экономической характеристики линейного объекта,"Структурный элемент текстовой части Раздела 1 проектной документации линейного объекта, содержащего общие сведения о проекте, содержащий описание технико-экономической характеристики линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,CBBB,,,"Раздел 2 проектной документации линейного объекта ""Проект полосы отвода""",Документированные результаты проектирования в соответствии с требованиями к содержанию Раздела 2 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По форме предоставления информации,,Сформулировано на основании результата анализа источников
,,,,CBBBA,,"Текстовая часть Раздела 2 проектной документации линейного объекта ""Проект полосы отвода""",Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части Раздела 2 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBBA010,Описание характеристики трассы линейного объекта,"Структурный элемент текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий описание характеристики трассы линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBBA020,Описание расчета размеров земельных участков на линейный объект,"Структурный элемент текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий описание расчета размеров земельных участков на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBBA030,Описание решений по организации рельефа трассы и инженерной подготовке территории на линейный объект,"Структурный элемент текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий описание решений по организации рельефа трассы и инженерной подготовке территории на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBBA040,Обоснование необходимости размещения линейного объекта и его инфраструктуры,"Структурный элемент текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий обоснование необходимости размещения линейного объекта и его инфраструктуры",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,CBBBB,,"Графическая часть Раздела 2 проектной документации линейного объекта ""Проект полосы отвода""",Документированные результаты проектирования в соответствии с требованиями к содержанию графической части Раздела 2 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBBB010,Топографическая карта-схема на линейный объект,"Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий топографическую карту-схему на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBBB020,План и продольный профиль трассы с инженерно-геологическим разрезом на линейный объект,"Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий план и продольный профиль трассы с инженерно-геологическим разрезом на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBBB030,План трассы с указанием участков воздушных линий связи на линейный объект,"Структурный элемент графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода"", содержащий план трассы с указанием участков воздушных линий связи на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,CBBC,,,"Раздел 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Документированные результаты проектирования в соответствии с требованиями к содержанию Раздела 3 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По форме предоставления информации,,Сформулировано на основании результата анализа источников
,,,,CBBCA,,"Текстовая часть Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части Раздела 3 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCA010,"Сведения о топографических, инженерно-геологических, гидрогеологических, метеорологических и климатических условиях участка линейного объекта","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения о топографических, инженерно-геологических, гидрогеологических, метеорологических и климатических условиях участка линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCA020,"Сведения об особых природно-климатических условиях земельного участка, предоставляемого для размещения линейного объекта","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения об особых природно-климатических условиях земельного участка, предоставляемого для размещения линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCA030,Сведения о проектной мощности линейного объекта,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий сведения о проектной мощности линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCA040,Описание характеристик технологического оборудования и устройств линейного объекта,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание характеристик технологического оборудования и устройств линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCA050,Описание мероприятий по энергосбережению на линейный объект,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание мероприятий по энергосбережению на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCA060,Обоснование количества и типов оборудования на линейный объект,"Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий обоснование количества и типов оборудования на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCA070,"Описание мероприятий, обеспечивающих соблюдение требований по охране труда в процессе эксплуатации линейного объекта","Структурный элемент текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий описание мероприятий, обеспечивающих соблюдение требований по охране труда в процессе эксплуатации линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,CBBCB,,"Графическая часть Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Документированные результаты проектирования в соответствии с требованиями к содержанию графической части Раздела 3 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCB010,Чертеж конструктивных решений несущих конструкций и отдельных элементов опор на линейный объект,"Структурный элемент графической части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий чертеж конструктивных решений несущих конструкций и отдельных элементов опор на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCB020,"Чертеж основных элементов искусственных сооружений, конструкций на линейный объект","Структурный элемент графической части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий чертеж основных элементов искусственных сооружений, конструкций на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCB030,Принципиальная схема электроснабжения на линейный объект,"Структурный элемент графической части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий принципиальную схему электроснабжения на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBCB040,Принципиальная схема систем канализации и водоотведения на линейный объект,"Структурный элемент графической части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения"", содержащий принципиальную схему систем канализации и водоотведения на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,CBBD,,,"Раздел 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта""",Документированные результаты проектирования в соответствии с требованиями к содержанию Раздела 4 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По форме предоставления информации,,Сформулировано на основании результата анализа источников
,,,,CBBDA,,"Текстовая часть Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта""",Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части Раздела 4 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBDA010,"Перечень зданий, строений и сооружений, проектируемых в составе линейного объекта","Структурный элемент текстовой части Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта"", содержащий перечень зданий, строений и сооружений, проектируемых в составе линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBDA020,"Сведения о строительстве новых, реконструкции существующих ОКС производственного и непроизводственного назначения, обеспечивающих функционирование линейного объекта","Структурный элемент текстовой части Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта"", содержащий сведения о строительстве новых, реконструкции существующих ОКС производственного и непроизводственного назначения, обеспечивающих функционирование линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBDA030,"Сведения о проектной документации, применяемой при проектировании зданий и сооружений, проектируемых в составе линейного объекта","Структурный элемент текстовой части Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта"", содержащий сведения о проектной документации, применяемой при проектировании зданий и сооружений, проектируемых в составе линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,CBBDB,,"Графическая часть Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта""",Документированные результаты проектирования в соответствии с требованиями к содержанию графической части Раздела 4 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBDB010,"Схема линейного объекта с обозначением мест расположения зданий, строений и сооружений, проектируемых в составе линейного объекта и обеспечивающих его функционирование","Структурный элемент графической части Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта"", содержащий схему линейного объекта с обозначением мест расположения зданий, строений и сооружений, проектируемых в составе линейного объекта и обеспечивающих его функционирование",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,CBBE,,,"Раздел 5 проектной документации линейного объекта ""Проект организации строительства""",Документированные результаты проектирования в соответствии с требованиями к содержанию Раздела 5 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По форме предоставления информации,,Сформулировано на основании результата анализа источников
,,,,CBBEA,,"Текстовая часть Раздела 5 проектной документации линейного объекта ""Проект организации строительства""",Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части Раздела 5 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBEA010,"Сведения о размерах земельных участков, временно отводимых на период строительства на линейный объект","Структурный элемент текстовой части Раздела 5 проектной документации линейного объекта ""Проект организации строительства"", содержащий сведения о размерах земельных участков, временно отводимых на период строительства на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBEA020,"Сведения о местах размещения баз материально-технического обеспечения, производственных организаций и объектов энергетического обеспечения на линейный объект","Структурный элемент текстовой части Раздела 5 проектной документации линейного объекта ""Проект организации строительства"", содержащий сведения о местах размещения баз материально-технического обеспечения, производственных организаций и объектов энергетического обеспечения на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBEA030,Обоснование организационно-технологической схемы на линейный объект,"Структурный элемент текстовой части Раздела 5 проектной документации линейного объекта ""Проект организации строительства"", содержащий обоснование организационно-технологической схемы на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBEA040,Перечень основных видов строительных и монтажных работ на линейный объект,"Структурный элемент текстовой части Раздела 5 проектной документации линейного объекта ""Проект организации строительства"", содержащий перечень основных видов строительных и монтажных работ на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,CBBEB,,"Графическая часть Раздела 5 проектной документации линейного объекта ""Проект организации строительства""",Документированные результаты проектирования в соответствии с требованиями к содержанию графической части Раздела 5 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBEB010,"Ситуационный план (карта-схема) района с указанием плана трассы линейного объекта, пунктов начала и окончания трассы","Структурный элемент графической части Раздела 5 проектной документации линейного объекта ""Проект организации строительства"", содержащий ситуационный план (карту-схему) района с указанием плана трассы линейного объекта, пунктов начала и окончания трассы",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBEB020,"План полосы отвода с указанием существующих в полосе отвода, возводимых и подлежащих сносу зданий, строений и сооружений на линейный объект","Структурный элемент графической части Раздела 5 проектной документации линейного объекта ""Проект организации строительства"", содержащий план полосы отвода с указанием существующих в полосе отвода, возводимых и подлежащих сносу зданий, строений и сооружений на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBEB030,Организационно-технологическая схема на линейный объект,"Структурный элемент графической части Раздела 5 проектной документации линейного объекта ""Проект организации строительства"", содержащий организационно-технологическую схему на линейный объект",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,CBBF,,,"Раздел 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта""",Документированные результаты проектирования в соответствии с требованиями к содержанию Раздела 6 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По форме предоставления информации,,Сформулировано на основании результата анализа источников
,,,,CBBFA,,"Текстовая часть Раздела 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта""",Документированные результаты проектирования в соответствии с требованиями к содержанию текстовой части Раздела 6 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBFA010,Описание и обоснование принятого метода сноса (демонтажа) линейного объекта,"Структурный элемент текстовой части Раздела 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта"", содержащий описание и обоснование принятого метода сноса (демонтажа) линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBFA020,Описание проектных решений по устройству временных инженерных сетей на период строительства линейного объекта,"Структурный элемент текстовой части Раздела 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта"", содержащий описание проектных решений по устройству временных инженерных сетей на период строительства линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBFA030,Основание для разработки проекта организации работ по сносу или демонтажу линейного объекта,"Структурный элемент текстовой части Раздела 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта"", содержащий основание для разработки проекта организации работ по сносу или демонтажу линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBFA040,"Перечень строений и сооружений линейного объекта капитального строительства, подлежащих сносу (демонтажу)","Структурный элемент текстовой части Раздела 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта"", содержащий перечень строений и сооружений линейного объекта капитального строительства, подлежащих сносу (демонтажу)",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,CBBFB,,"Графическая часть Раздела 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта""",Документированные результаты проектирования в соответствии с требованиями к содержанию графической части Раздела 6 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
,,,,,CBBFB010,План земельного участка и прилегающих территорий с указанием места размещения сносимого линейного объекта,"Структурный элемент графической части Раздела 6 проектной документации линейного объекта ""Проект организации работ по сносу (демонтажу) линейного объекта"", содержащий план земельного участка и прилегающих территорий с указанием места размещения сносимого линейного объекта",Постановление Правительства РФ от 16.02.2008 N 87,,,Сформулировано на основании результата анализа источников
